"","ASCL1","ASCL1+KLF14","ASCL1+NEUROD1","ASCL1+NEUROG1","ASCL1+NR3C1","ASCL1+SIM1","ASCL1+TET2","ASCL1+TWIST1","ASCL1+VSX1","ASCL1+ZNF385A","ASCL1+ZNF547","ASCL1+ZNF660","ASCL1+ZNF776","KLF14","KLF14+NEUROD1","KLF14+NEUROG1","KLF14+NR3C1","KLF14+SIM1","KLF14+TET2","KLF14+TWIST1","KLF14+VSX1","KLF14+ZNF385A","KLF14+ZNF547","KLF14+ZNF660","KLF14+ZNF776","NEUROD1","NEUROD1+NEUROG1","NEUROD1+NR3C1","NEUROD1+SIM1","NEUROD1+TET2","NEUROD1+TWIST1","NEUROD1+VSX1","NEUROD1+ZNF385A","NEUROD1+ZNF547","NEUROD1+ZNF660","NEUROD1+ZNF776","NEUROG1","NEUROG1+NR3C1","NEUROG1+SIM1","NEUROG1+TET2","NEUROG1+TWIST1","NEUROG1+VSX1","NEUROG1+ZNF385A","NEUROG1+ZNF547","NEUROG1+ZNF660","NEUROG1+ZNF776","NR3C1","NR3C1+SIM1","NR3C1+TET2","NR3C1+TWIST1","NR3C1+VSX1","NR3C1+ZNF385A","NR3C1+ZNF547","NR3C1+ZNF660","NR3C1+ZNF776","SIM1","SIM1+TET2","SIM1+TWIST1","SIM1+VSX1","SIM1+ZNF385A","SIM1+ZNF547","SIM1+ZNF660","SIM1+ZNF776","TET2","TET2+TWIST1","TET2+VSX1","TET2+ZNF385A","TET2+ZNF547","TET2+ZNF660","TET2+ZNF776","TWIST1","TWIST1+VSX1","TWIST1+ZNF385A","TWIST1+ZNF547","TWIST1+ZNF660","TWIST1+ZNF776","VSX1","VSX1+ZNF385A","VSX1+ZNF547","VSX1+ZNF660","VSX1+ZNF776","ZNF385A","ZNF385A+ZNF547","ZNF385A+ZNF660","ZNF385A+ZNF776","ZNF547","ZNF547+ZNF660","ZNF547+ZNF776","ZNF660","ZNF660+ZNF776","ZNF776"
"AHR",0.986394977209318,0.959188045762339,0.947593649744214,0.858203599862535,0.993051074935235,0.772007302810176,0.926885262905832,0.997642323982606,0.930577212648737,0.996558119154601,0.887851368407572,0.932411114006156,0.808110935602451,0.654341107349383,0.690218123832744,0.900139948924108,0.984655622208857,0.919197738079447,0.99058315256204,0.964462440303351,0.999095159964312,0.989746800245068,0.979869908911865,0.981870829215656,0.855437225767489,0.932415533244285,0.961903178654453,0.927024010834999,0.971171435944564,0.930323575226432,0.872321472076047,0.931727212518015,0.590648534942937,0.969060379024855,0.480004660711642,0.969914650706507,0.992347904415653,0.939137124175805,0.998455946111541,0.928396465478573,0.984101290760488,0.973093972758853,0.897741372031196,0.940779924297115,0.987727777676184,0.960374117410912,0.979752278184448,0.967730046460774,0.994916494193982,0.987805594170962,0.991207470248358,0.955475932361871,0.945279690454232,0.995863965189804,0.989951536283013,0.875128632870572,0.980101264299953,0.94373717920042,0.943200499447946,0.985220766605989,0.988119328978891,0.993498234587533,0.971713762563523,0.984234806755631,0.828125732598122,0.997727503411322,0.967625088836332,0.995513768605802,0.837533470641984,0.938554408299007,0.951842670164933,0.789353606372548,0.995551743520484,0.947629768826814,0.951812089624309,0.764017040458086,0.947485018204864,0.853200179614868,0.989853021951562,0.969531158909843,0.923959889611315,0.985944647225575,0.927376362357255,0.980864821370429,0.991939704817908,0.969776309774944,0.98467220179463,0.776329152254369,0.944209149291317,0.9907628438926,0.935108385949834
"AIRE",0.8030304365275,0.918558571748293,0.947593649744214,0.882776828178774,0.993051074935235,0.862169762776936,0.887225347358921,0.997642323982606,0.718060221167983,0.958773310900584,0.7503237586522,0.932411114006156,0.643322495226575,0.917064180399411,0.557858377072272,0.949506220468213,0.984655622208857,0.988827490153761,0.99058315256204,0.964462440303351,0.999095159964312,0.997138591281569,0.966683700014475,0.922132358919962,0.864224625373813,0.941334919760945,0.961903178654453,0.515741305382486,0.971171435944564,0.832416887263578,0.706691613426751,0.595131478220257,0.95604505471307,0.888989789581778,0.711083290620083,0.969914650706507,0.980653365361323,0.939137124175805,0.998455946111541,0.736409133031386,0.984101290760488,0.973093972758853,0.897741372031196,0.753496079177978,0.874159508233338,0.941452796669749,0.689099331341797,0.963525285280965,0.93813155318891,0.987805594170962,0.991207470248358,0.955475932361871,0.945279690454232,0.995863965189804,0.996557313137602,0.89283439191589,0.980101264299953,0.967862150229712,0.943200499447946,0.985220766605989,0.897502908757806,0.895724072700526,0.971713762563523,0.984234806755631,0.796966248975514,0.988373260486589,0.993420796739225,0.995513768605802,0.997158043934157,0.879802883421171,0.951842670164933,0.756516230611391,0.995551743520484,0.923413972536273,0.951032514974819,0.984105140731236,0.910025526737626,0.73220640476532,0.958830339556458,0.985555626311404,0.966199786151759,0.985944647225575,0.850752105062305,0.980864821370429,0.991939704817908,0.0207642125852553,0.95472438465785,0.667777245297695,0.924987026071527,0.967808499556245,0.891203417926889
"ALX1",0.986394977209318,0.918558571748293,0.947593649744214,0.627978999586253,0.993051074935235,0.986613602878538,0.889317871289028,0.91963038371847,0.873041365671615,0.764536737001102,0.925056502501314,0.932411114006156,0.855835478562977,0.891881151001983,0.678702142174427,0.971622349604294,0.984655622208857,0.896053856368311,0.99058315256204,0.964462440303351,0.554565757409059,0.987202435367148,0.99861028621524,0.922132358919962,0.968556137812539,0.870124459667124,0.961903178654453,0.804517384501351,0.849853294715191,0.989411506709096,0.963210127184389,0.931727212518015,0.968076695185014,0.930264940558548,0.946968678098713,0.969914650706507,0.992347904415653,0.951415686704104,0.998455946111541,0.939540792300982,0.984101290760488,0.955353139927338,0.976983292818177,0.712915087106866,0.981435414634829,0.960374117410912,0.689099331341797,0.933659659758726,0.889599989420421,0.987805594170962,0.991207470248358,0.817578722873247,0.997173243351123,0.995863965189804,0.989951536283013,0.991391016425405,0.980101264299953,0.868032124474214,0.943200499447946,0.985220766605989,0.937858277435483,0.886175058394711,0.971713762563523,0.984234806755631,0.988606969494809,0.988373260486589,0.967625088836332,0.995513768605802,0.158283684438527,0.977752450733265,0.951842670164933,0.943685486849178,0.983856571317042,0.884768371037053,0.951032514974819,0.954622589913256,0.947485018204864,0.939762453475256,0.989853021951562,0.942073193346472,0.966199786151759,0.985944647225575,0.996972845579443,0.980864821370429,0.975802892495136,0.920386006799952,0.872313350506836,0.670946868740736,0.971134227676763,0.967808499556245,0.928722213024589
"AR",0.986394977209318,0.918558571748293,0.947593649744214,0.858203599862535,0.993051074935235,0.975669848239195,0.889317871289028,0.91963038371847,0.930577212648737,0.949766520754501,0.925056502501314,0.970620442968246,0.883810598180788,0.945867638026436,0.853472985768646,0.936494039408071,0.984655622208857,0.896053856368311,0.99058315256204,0.964462440303351,0.905341078644845,0.992891495012891,0.966683700014475,0.113729993921504,0.968556137812539,0.755603824572365,0.867261640870177,0.990835317716574,0.959103908760682,0.971166699519229,0.892981672115846,0.966887719653955,0.93412507262369,0.900047929772902,0.997838186600327,0.969914650706507,0.979470733537026,0.939137124175805,0.923715826230562,0.301248134749179,0.984101290760488,0.973093972758853,0.994856785333396,0.712915087106866,0.926596763669257,0.960374117410912,0.979752278184448,0.963525285280965,0.994916494193982,0.987805594170962,0.944637043169869,0.950789827633603,0.226664132397029,0.995863965189804,0.989951536283013,0.295611129976961,0.980101264299953,0.94373717920042,0.943200499447946,0.985220766605989,0.988119328978891,0.993498234587533,0.971713762563523,0.984234806755631,0.952264642081159,0.988373260486589,0.808798809581662,0.995513768605802,0.838078152409702,0.283329038291239,0.951842670164933,0.943685486849178,0.983856571317042,0.923413972536273,0.807475353179073,0.998527843996187,0.910025526737626,0.853200179614868,0.958830339556458,0.829628639674027,0.966199786151759,0.985944647225575,0.948136197820191,0.980864821370429,0.991939704817908,0.935476846939921,0.872313350506836,0.776329152254369,0.745502984670083,0.967808499556245,0.877202126153615
"TFAP2B",0.986394977209318,0.955536645654718,0.947593649744214,0.882776828178774,0.778770758581177,0.948233595053014,0.887225347358921,0.91963038371847,0.953848257280594,0.982515213128969,0.909801387584842,0.932411114006156,0.94601536840562,0.955385232066177,0.977171034548471,0.936494039408071,0.984655622208857,0.896053856368311,0.99058315256204,0.964462440303351,0.999095159964312,0.987202435367148,0.966683700014475,0.981724574081234,0.968556137812539,0.91038569613036,0.961903178654453,0.998649744589741,0.912861430142161,0.989411506709096,0.945299786231499,0.975436942380726,0.991006704850301,0.925478551320078,0.843355716130956,0.996155406685953,0.992347904415653,0.988363431031518,0.998455946111541,0.956925904413183,0.984101290760488,0.790016868729106,0.97280933616989,0.712915087106866,0.973521329204096,0.944204067695012,0.940134200304475,0.963525285280965,0.994916494193982,0.987805594170962,0.956271184721212,0.997165731888309,0.843813939541627,0.995863965189804,0.989951536283013,0.847966609292705,0.980101264299953,0.94373717920042,0.992781620769719,0.985220766605989,0.988119328978891,0.993498234587533,0.971713762563523,0.939880926321575,0.827387764319625,0.993037364522479,0.967625088836332,0.995513768605802,0.994352231413074,0.988351021619896,0.963356344155868,0.825240658574226,0.856719732472307,0.947629768826814,0.926024290590951,0.984105140731236,0.993983228952742,0.95924467874855,0.989853021951562,0.970650861857987,0.966199786151759,0.985944647225575,0.917617435568902,0.980864821370429,0.991939704817908,0.833186209210505,0.872313350506836,0.997877658438895,0.924987026071527,0.967808499556245,0.877202126153615
"ARI5B",0.986394977209318,0.918558571748293,0.947593649744214,0.858203599862535,0.993051074935235,0.975669848239195,0.887225347358921,0.91963038371847,0.953848257280594,0.958773310900584,0.763275188566716,0.950050933983112,0.94601536840562,0.91306812193664,0.900086747405105,0.936494039408071,0.375805144614732,0.988827490153761,0.99058315256204,0.980811879691301,0.999095159964312,0.987202435367148,0.99861028621524,0.922132358919962,0.997933630242087,0.91038569613036,0.959775506432681,0.990835317716574,0.867203769661487,0.971166699519229,0.883651697395464,0.991381662827845,0.590648534942937,0.605685250050286,0.997838186600327,0.969914650706507,0.992347904415653,0.939137124175805,0.998455946111541,0.987929856329299,0.984101290760488,0.973093972758853,0.970378111955257,0.712915087106866,0.926596763669257,0.960374117410912,0.891998642065472,0.963525285280965,0.994916494193982,0.987805594170962,0.944637043169869,0.955475932361871,0.628352613741722,0.995863965189804,0.989951536283013,0.991391016425405,0.980101264299953,0.94373717920042,0.943200499447946,0.914391465378166,0.988119328978891,0.993498234587533,0.971713762563523,0.984234806755631,0.952264642081159,0.997727503411322,0.808798809581662,0.995513768605802,0.994352231413074,0.942896136262876,0.951842670164933,0.756516230611391,0.983856571317042,0.945344609806112,0.953131549536696,0.984105140731236,0.993983228952742,0.867469368921638,0.989853021951562,0.755047141186348,0.986127848962059,0.985944647225575,0.917617435568902,0.92693009604249,0.991939704817908,0.935476846939921,0.872313350506836,0.989124790809404,0.916049579868679,0.967808499556245,0.877202126153615
"ASCL1",0.986394977209318,0.857118427113129,0.955682024539066,0.858203599862535,0.993051074935235,0.975669848239195,0.887225347358921,0.997642323982606,0.930577212648737,0.482537304052016,0.963984879962213,0.950050933983112,0.970193512070709,0.891881151001983,0.890695894789885,0.848033855232376,0.984655622208857,0.988827490153761,0.99058315256204,0.97217093391293,0.999095159964312,0.992891495012891,0.966683700014475,0.93055126899417,0.977310692522386,0.868944497042464,0.961903178654453,0.848625747459131,0.798844343793731,0.971166699519229,0.833677960467218,0.931727212518015,0.994612981236891,0.97948132666151,0.777947671182239,0.969914650706507,0.992347904415653,0.939137124175805,0.998455946111541,0.997997847662939,0.984101290760488,0.955353139927338,0.972142525306588,0.974870307697377,0.762235694310729,0.9794346231627,0.979752278184448,0.995799617109242,0.994916494193982,0.987805594170962,0.983423390456957,0.950789827633603,0.930781226207666,0.995863965189804,0.8970806034839,0.875128632870572,0.980101264299953,0.931723038101577,0.943200499447946,0.985220766605989,0.988119328978891,0.993498234587533,0.990377789705614,0.984234806755631,0.990399816545978,0.988373260486589,0.927483497932125,0.995513768605802,0.994352231413074,0.94492865281564,0.951842670164933,0.943685486849178,0.983856571317042,0.943067943867442,0.951032514974819,0.869079408436595,0.947485018204864,0.817956763979851,0.989853021951562,0.755047141186348,0.966199786151759,0.985944647225575,0.996972845579443,0.918584789434474,0.805596294455955,0.833186209210505,0.952341139891138,0.965604521605664,0.922349145792783,0.967808499556245,0.877202126153615
"ATF2",0.958351826760967,0.918558571748293,0.964400043150218,0.912772177471214,0.993051074935235,0.948233595053014,0.988019922718352,0.997642323982606,0.928678855198497,0.764536737001102,0.501325581683792,0.932411114006156,0.900595532413162,0.995765153644671,0.824120999749891,0.998004928307733,0.984655622208857,0.955838849966602,0.924508873658927,0.964462440303351,0.999095159964312,0.987202435367148,0.993738999500933,0.970275360856571,0.855437225767489,0.870124459667124,0.859849887819882,0.888928235018118,0.849853294715191,0.633549843002688,0.821106198683598,0.734873676098316,0.991006704850301,0.973673426164194,0.997838186600327,0.969914650706507,0.992347904415653,0.939137124175805,0.998455946111541,0.939540792300982,0.984101290760488,0.955353139927338,0.972142525306588,0.712915087106866,0.938061539016134,0.865066279168024,0.94929925807232,0.963525285280965,0.994916494193982,0.987805594170962,0.944637043169869,0.950789827633603,0.997173243351123,0.995863965189804,0.996557313137602,0.991391016425405,0.980101264299953,0.994749209792896,0.98060468249596,0.985220766605989,0.988119328978891,0.993498234587533,0.971713762563523,0.939880926321575,0.990399816545978,0.988373260486589,0.967625088836332,0.995513768605802,0.994352231413074,0.721753616177691,0.951842670164933,0.943685486849178,0.856719732472307,0.947629768826814,0.951812089624309,0.680097601573273,0.947485018204864,0.817956763979851,0.989853021951562,0.814157448429202,0.980485820987665,0.985944647225575,0.889028933304954,0.980864821370429,0.337343007888985,0.834928611303975,0.872313350506836,0.842022652564365,0.977477336389352,0.967808499556245,0.988972555586579
"ATF3",0.827699532857165,0.955536645654718,0.964400043150218,0.894719798089916,0.993051074935235,0.996779823236091,0.887225347358921,0.997642323982606,0.928678855198497,0.949766520754501,0.899257759075076,0.932411114006156,0.956511723574256,0.955385232066177,0.94463002416609,0.968262289607695,0.984655622208857,0.912915824917578,0.976825540948399,0.964462440303351,0.999095159964312,0.774122459290519,0.966683700014475,0.94622906769106,0.968556137812539,0.949251957459363,0.959775506432681,0.990835317716574,0.867203769661487,0.87709898306955,0.883651697395464,0.931727212518015,0.968076695185014,0.888989789581778,0.977987856692946,0.996155406685953,0.992347904415653,0.939137124175805,0.998455946111541,0.939540792300982,0.984101290760488,0.955353139927338,0.897741372031196,0.940779924297115,0.91866037840055,0.9794346231627,0.891998642065472,0.963525285280965,0.994916494193982,0.987805594170962,0.991207470248358,0.955475932361871,0.945279690454232,0.995863965189804,0.989951536283013,0.975295464341613,0.980101264299953,0.94373717920042,0.826773394066169,0.985220766605989,0.988119328978891,0.993498234587533,0.971713762563523,0.984234806755631,0.764794364519733,0.997727503411322,0.927483497932125,0.995513768605802,0.838078152409702,0.897284217012306,0.951842670164933,0.756516230611391,0.983856571317042,0.93889011080623,0.896431477873981,0.932152283580124,0.947485018204864,0.73220640476532,0.989853021951562,0.872573363450941,0.966199786151759,0.985944647225575,0.917617435568902,0.980864821370429,0.991939704817908,0.975081851317346,0.986321176674268,0.958040566620111,0.944209149291317,0.967808499556245,0.935108385949834
"ATF6A",0.975807092120632,0.955536645654718,0.947593649744214,0.882776828178774,0.993051074935235,0.975669848239195,0.887225347358921,0.945777343522167,0.962717795250748,0.764536737001102,0.91867951683344,0.970620442968246,0.94601536840562,0.908272047919019,0.94463002416609,0.936494039408071,0.984655622208857,0.919197738079447,0.924508873658927,0.97217093391293,0.929633209122209,0.989746800245068,0.99861028621524,0.981724574081234,0.977310692522386,0.870124459667124,0.961903178654453,0.990835317716574,0.974839881950641,0.971166699519229,0.915910460843573,0.991381662827845,0.989440142572617,0.635309724386798,0.786236788733452,0.977042438525314,0.992347904415653,0.939137124175805,0.923715826230562,0.989397892318536,0.984101290760488,0.973093972758853,0.897741372031196,0.987685121892081,0.981435414634829,0.474515425588148,0.994634615166526,0.980944817824441,0.949483512392294,0.987805594170962,0.991207470248358,0.955475932361871,0.953514749334272,0.995863965189804,0.989951536283013,0.889259977349343,0.980101264299953,0.94373717920042,0.943200499447946,0.985220766605989,0.988119328978891,0.996390105073579,0.971713762563523,0.984234806755631,0.984539072774321,0.997727503411322,0.927483497932125,0.995513768605802,0.994352231413074,0.942896136262876,0.951842670164933,0.943685486849178,0.856719732472307,0.923413972536273,0.951812089624309,0.861527499447664,0.947485018204864,0.95924467874855,0.989853021951562,0.829628639674027,0.848811464946946,0.985944647225575,0.850752105062305,0.859815782355133,0.991939704817908,0.935476846939921,0.872313350506836,0.997877658438895,0.922349145792783,0.967808499556245,0.928722213024589
