"","ASCL1","ASCL1+KLF14","ASCL1+NEUROD1","ASCL1+NEUROG1","ASCL1+NR3C1","ASCL1+SIM1","ASCL1+TET2","ASCL1+TWIST1","ASCL1+VSX1","ASCL1+ZNF385A","ASCL1+ZNF547","ASCL1+ZNF660","ASCL1+ZNF776","KLF14","KLF14+NEUROD1","KLF14+NEUROG1","KLF14+NR3C1","KLF14+SIM1","KLF14+TET2","KLF14+TWIST1","KLF14+VSX1","KLF14+ZNF385A","KLF14+ZNF547","KLF14+ZNF660","KLF14+ZNF776","NEUROD1","NEUROD1+NEUROG1","NEUROD1+NR3C1","NEUROD1+SIM1","NEUROD1+TET2","NEUROD1+TWIST1","NEUROD1+VSX1","NEUROD1+ZNF385A","NEUROD1+ZNF547","NEUROD1+ZNF660","NEUROD1+ZNF776","NEUROG1","NEUROG1+NR3C1","NEUROG1+SIM1","NEUROG1+TET2","NEUROG1+TWIST1","NEUROG1+VSX1","NEUROG1+ZNF385A","NEUROG1+ZNF547","NEUROG1+ZNF660","NEUROG1+ZNF776","NR3C1","NR3C1+SIM1","NR3C1+TET2","NR3C1+TWIST1","NR3C1+VSX1","NR3C1+ZNF385A","NR3C1+ZNF547","NR3C1+ZNF660","NR3C1+ZNF776","SIM1","SIM1+TET2","SIM1+TWIST1","SIM1+VSX1","SIM1+ZNF385A","SIM1+ZNF547","SIM1+ZNF660","SIM1+ZNF776","TET2","TET2+TWIST1","TET2+VSX1","TET2+ZNF385A","TET2+ZNF547","TET2+ZNF660","TET2+ZNF776","TWIST1","TWIST1+VSX1","TWIST1+ZNF385A","TWIST1+ZNF547","TWIST1+ZNF660","TWIST1+ZNF776","VSX1","VSX1+ZNF385A","VSX1+ZNF547","VSX1+ZNF660","VSX1+ZNF776","ZNF385A","ZNF385A+ZNF547","ZNF385A+ZNF660","ZNF385A+ZNF776","ZNF547","ZNF547+ZNF660","ZNF547+ZNF776","ZNF660","ZNF660+ZNF776","ZNF776"
"AHR",0.0307185773452616,-0.00888605022796677,-0.0327165918847643,-0.0406007469330929,-0.0154684717412082,0.0869801119527307,0.0175258298739439,0.0160768148612116,-0.0302192970921758,-0.0028873005607692,0.0357703280666387,0.0712735425984957,0.0437949298137425,0.132297538079943,-0.0765846772798953,-0.0485567665670603,-0.0074407416025808,0.0332813518682692,-0.021711660938412,-0.0299569883318517,0.0357357456706264,0.0152476281161599,0.0254755651241419,-0.00639589267161509,0.067199202568728,0.0269077687618258,0.0101450729426985,-0.0375405855304671,-0.00728762565850328,-0.0263141687475033,0.0589245824453652,-0.0433024365875395,0.0889173643618736,0.0158523996683275,-0.0954510892361955,0.0165918178000807,0.049021427806381,0.026176060894881,-0.0193374712941029,0.046262916713605,0.0107051740664141,0.0107363998851684,-0.0464434782232798,-0.0284829520841038,0.00154617483457359,0.0165373635671004,-0.0206142073765076,0.0168297153002372,-0.0178022790632766,0.0385787332112019,-0.00237781287078466,-0.0282666699362144,0.0338682498847345,0.0535583625042355,-0.0363759190845743,0.0374814950296984,0.0091941558427068,-0.0369729772136774,-0.0664782448034975,0.0456624903218408,-0.0314548130840889,-0.00805529407183285,0.0266907219394659,0.043765400085624,-0.0575455457772269,-0.00102174433189709,-0.020571342022251,0.0530892451669691,0.070168122717882,-0.0287418892188625,-0.0442644450499504,-0.0425639205271618,-0.0172031466167413,-0.014137548876706,-0.0129367556064137,0.0601335741227781,-0.0526068835548843,0.0510842774201882,-0.0193514776304747,-0.0136990003628588,0.0711962775404512,-0.0169456859129961,-0.0169842685657969,0.0198653023782653,-0.0436141929716698,-0.0104180900722729,-0.00550775905035339,-0.0522640461610853,-0.0274732681753038,0.00089291888507365,-0.0165483203515353
"AIRE",-0.043760536146507,-0.0277567397323364,0.0125982140010483,0.0183566051440023,-0.0228419878990978,0.0412843644230439,0.0267706637304531,0.0109556092519894,-0.0378250053827477,-0.00873380121364596,0.0293339995868477,-0.0226333354612917,0.0424454124314392,0.0130068352666596,0.0541476477338762,-0.010261602998081,-0.012758754558337,0.00268775826587082,-0.00278828645987315,-0.00890756466758057,0.00095710237927748,7.83710531269775e-05,0.0380429997244552,0.0240891396067418,-0.0307841050014289,-0.0121080312880638,-0.0139847774574443,0.045056730879361,-0.00672786548047897,-0.0206949873543452,0.0650335664327133,0.0490418801446848,0.0190132930918285,0.0238543568796846,-0.033645742419949,-0.0232596202211173,-0.0322402921497802,0.047484095351119,-0.00953581765275759,0.0375689192803306,-0.00816439419493319,-0.00238637988143471,-0.0169887218848839,-0.0324416014460382,-0.0350688924752988,-0.0183728388871494,0.049207275519653,-0.010152385115001,0.0422917646555047,0.0133344928879242,0.00934774551147921,-0.0159668005805713,-0.0168990939162757,0.0218559148222706,-0.000386340620079899,-0.0162842807246627,-0.0429679809653774,0.00410817195797128,-0.0299065126190297,-0.0156507622248957,-0.0296224430833246,0.0263145148048947,0.0251132562095962,0.0199316596538182,0.0310443982908715,-0.0344306810091795,0.00126608473610184,-0.00313862282234644,-0.00209898229092581,-0.0314839250622745,0.0164615405962586,-0.0330425841002763,0.0154257105833737,-0.0220225256377069,0.0147154757629995,0.00635045999392711,0.038017730480263,-0.0450007472067409,-0.0444628354166523,0.0034058295990542,0.0129516347712914,-0.000774413025331948,-0.0290195291249891,-0.00535987665947611,0.00980375010437372,0.0984847408134026,-0.0099611429517208,0.0357430648574017,0.0197469834260872,0.00726294979780558,0.0165667846934261
"ALX1",0.00154225818841898,0.0136834264177668,0.0193407510283663,-0.0580039523704406,0.012369092994905,-0.00831954626791084,-0.0139456323698479,0.0280821523732247,-0.0288609449722343,-0.036247250401835,-0.00689537393698776,-0.0168891271944795,-0.0195827445124009,0.02763464623992,-0.0410392314440001,-0.0040587335489211,-0.00865914913654361,0.030096016750206,0.00305767158956621,0.0219363682374069,0.0549162184923792,0.0132445658487376,0.000364530298570634,-0.0205248910877304,-0.0103755805719092,-0.0229995695959179,0.0136500787239478,0.0313763485387502,0.0317871460757334,-0.000585654024242933,-0.00727804535287835,0.0157660212280836,0.0142096850251169,-0.0116734705818129,-0.013594692246129,-0.0234765260045582,-0.0216763065561267,0.00631298826922109,0.0017052345697306,0.0137574692746753,0.0407099273092282,-0.0207928362029291,0.00315204366417657,0.0388148857317893,0.00224232655904188,0.00868435605311746,0.054090063750658,0.0431529306486759,-0.0464410025157669,0.00930387916642581,-0.00229344657006597,0.0538307052687685,0.000468895086342214,0.0328316213227695,-0.0186610160576065,-0.00394915397833646,-0.00767870979322792,0.0381851101550546,0.0240984649254377,-0.00580698787384682,-0.027698538823308,0.0264344859919475,-0.00383319376445725,0.00818100208795167,-0.00533619103082557,-0.0110508642263388,-0.00981302088960536,-0.00624449772599495,0.0830650839124216,-0.00412048533113598,0.0117228531674811,0.0101037900668905,0.0221414779746682,0.0334636554178375,0.0168214578591715,-0.0124023320772783,-0.0167595500499416,-0.0176642197330197,0.00170553558611556,-0.0147296827855818,0.00660097724591263,0.0225094659354273,0.00210137090975482,0.00778260168105454,0.024917237254123,0.014439305439443,-0.0316780000185835,-0.0317304841958088,0.0066002611350422,0.0264889440992576,-0.0095364587325511
"AR",0.00756058019557118,-0.0142941768789938,-0.0120755804548931,0.0221525290965595,-0.00754540625073637,-0.0073641508080978,0.00855497343523524,-0.0278350307470665,-0.00914815324311145,-0.00878346728428579,0.00436487980304637,0.00158540251032664,-0.0114636273933747,0.00615052612750103,-0.0179704418423878,-0.0128148541041106,-0.00480722086484061,0.0131693821883496,0.00123642926097261,-0.0240891246757366,-0.0262772042816022,0.000582909845770934,-0.019466653195509,-0.0501675341143418,-0.00729508878799391,0.0303001301405729,-0.0161190727425606,-0.00200207057165855,-0.0107880168678417,0.00437206474895257,-0.0132757599883791,-0.00776966235328363,-0.0190958211436386,0.0123659871587646,-0.0026293343308625,-0.00977444052036904,-0.0251490014354532,0.0164149435014279,0.0274273928714435,-0.0457065733984438,0.00112895950274685,0.00646317727315562,-0.000913699597421771,-0.0228628282951514,-0.0180539328630631,-0.00947525002763359,-0.00803880786418532,-0.0157856515005747,-0.0110803498382111,-0.0100810237955246,0.0150350921421995,-0.013776694281041,-0.0416258163219655,-0.00744916151536307,-0.00103816436556528,-0.041393030543997,-0.0139407154380566,-0.00971865566600435,0.0129680764710576,0.00772811890784956,0.00565496276398619,0.00531004693350084,-0.0192066589917547,0.00754809494679018,0.00930255880202217,-0.00536418191014677,-0.0282480723454941,0.00869040024768757,-0.0203815353206336,-0.0505296463153202,-0.00861501925641337,-0.00684505128619373,-0.0131067567197557,-0.0169318650920082,-0.0236937981762303,-2.6177410556335e-05,-0.0234145726086295,0.0171511405660277,-0.0261598292184624,-0.016787169153986,0.00640316929612471,-0.00869637491923347,-0.00423328208342294,-0.0129032864336662,-0.012378584838241,0.00826409721325048,-0.0148408264544577,-0.0168453099721987,0.0313240753668119,0.0102823794606337,0.0130835528177436
"TFAP2B",0.010610146720092,-0.0068636594046962,-0.0213434511634761,0.0137591916337995,0.0371905036388686,-0.0250983738595007,0.0126730163504325,0.0216267136928249,-0.00756651497378147,0.00333568671647823,0.0101865001260783,-0.0172861675343989,0.00941057665950007,-0.00629857441146378,-0.00424396721250996,0.00859607683799769,0.0075152164588005,-0.0281683617537663,-0.000584630253638142,0.0207982706949631,-0.00548426254865724,0.00851197706517119,-0.0269496977821123,0.00564344332859299,0.00949567845936971,-0.0139186907849351,-0.00498049842405738,0.000271103044654174,0.0153123589169717,0.000674264441480533,-0.0113341518786645,0.00643345287922936,0.00202944800642472,0.0102419517324253,0.015113411045278,-0.000730376799640759,0.00120546832834735,-0.00209366752871369,0.00803000509146446,0.00608256434237361,-0.00498176024039963,-0.0330831477809792,0.0031537888912724,0.0277993573484169,0.0125758524317813,-0.013098440238597,-0.0154960097227197,0.0191575211186436,-0.0189126408708378,0.016853780794787,0.0130097938562558,-0.000721899284231146,0.0233977930131369,0.0180207279335379,0.0130586532208708,-0.0174171350322827,-0.00692932316451347,-0.00696116715524554,0.000154167741053316,0.00884508087196229,-0.00794603463739985,-0.00337765768712785,0.0204493421352374,0.0271277168508762,-0.0230457114013849,-0.00576130731678617,0.00753854759459701,-0.0205004529347474,0.014444763994902,-0.00151246424775834,-0.00395602073198146,-0.014750555137039,0.0338365821524047,-0.00504286850414978,0.0180768178036879,0.00252120882759169,-0.000852075392303762,-0.00965389179128749,-0.00464564889168641,0.00371274495663876,0.00418012063264968,0.00843069717336456,0.00803523739619267,-0.00287280844233754,-0.0134940005385516,0.0218834824029167,-0.0152152468590024,0.00263531234676595,0.0150512437421306,0.0118222294750206,0.0187338096109031
"ARI5B",-0.00169242176964923,0.0204415426364715,-0.0171801997653818,-0.0350916850400402,-0.0082271122414981,0.0178465753945291,0.0603755968631106,-0.0422987072171241,-0.0120251846966825,-0.0120614097472447,-0.0317426035482247,-0.0103396358775288,0.0107475013333189,0.0201887177274952,0.0227854336202557,-0.015218908748254,-0.069633467910453,0.0107787928609399,-0.00445608334009749,-0.0056589843135043,-0.0235883520830205,-0.0256358488890882,0.000558271241588842,-0.0299368352236596,0.000467146566362525,-0.0214234718563878,-0.0217860712816549,0.010805490050236,0.0316297702270876,0.00883866510208256,-0.0311419282730522,-0.00545426271554675,-0.0535738638213562,-0.0575757771263364,0.000615280927171824,0.0180646210813653,-0.0202299830848922,-0.0177380675344588,-0.0151523064932042,-0.00580677089510403,-0.00490115262656598,-0.00878192979897203,-0.00792032977276475,-0.0550051182419137,0.0338676834960687,0.0135131094430902,-0.0338995544521052,0.0255505699599945,-0.0023757770987626,0.0134287683801005,0.0275130723092796,0.0162290736631846,0.054800435126335,-0.00929550962122596,-0.0150040966132613,0.00285148109380658,0.00794938529076881,0.00739123662787484,0.028043205541578,0.0369248797207034,0.0269713382300322,0.00490147178568191,0.0131147564127154,-0.0248563119194791,-0.0165485680162322,-0.00181345252462326,-0.0523778170247183,-0.0253663131937452,-0.0191515581640807,-0.0104014710885851,0.0289839222250445,0.04374446418975,0.030224449725204,0.00929263709640577,-0.00680438346187123,-0.00594625052149145,0.00411067707073566,-0.0272747983128208,-0.0130259367504075,0.0519224400887428,-0.00220437237393191,-0.00378504623169149,-0.0125202131387485,-0.035105117582359,-0.0106998482464029,0.011279574505588,-0.0335820366810025,-0.00962929567402407,-0.0356966392670251,-0.0132763115683093,0.0428019276767686
"ASCL1",-0.00656094714312646,0.0320889324538003,-0.00421559055588454,-0.0167373580080796,-0.0102263880680229,0.0120067180885328,0.0230415838304665,0.00862373662112097,-0.0138603865201627,-0.0478873570165157,-0.0029334830659829,-0.0113723011536705,-0.00211656904158739,-0.0234023487105096,-0.0211181208221486,-0.03319624311961,-0.00587440107206804,-0.00654658080353049,0.0071731368360277,-0.0054187031808662,-0.00232047728311558,0.00543264450300777,0.0214916434002505,-0.0166377750788971,-0.00224128612608266,-0.0283605865841684,0.0107224007628901,-0.0236753244265257,-0.0376877800200451,-0.00476317735089908,-0.0270448827016539,0.0230377439221792,0.000398278841724185,-0.00411733139538994,-0.0251454784675511,-0.0359781426785985,-0.0149300352315126,0.0278966585144622,-0.00110600412381664,-0.000101324299151507,-0.00745833166839215,0.018303809252257,0.00463030682584706,0.00423267780645919,0.0395707518648368,0.00300419213961129,0.00852672441204993,-0.000172861736083186,0.00138070193438427,-0.00326950112040748,0.0122630010985956,0.0187583768191281,0.0176819221484205,0.00517631936262338,-0.0298628244683586,-0.015400607558342,0.00357975683066798,-0.0184133346133716,-0.0213477511532904,-0.0155959876091737,-0.00769577292402026,0.0103175311644934,-0.00108393651171195,0.00162360762123967,0.00169194620776079,0.0135407482148645,0.0146520860709513,-0.0117426503507062,0.00658812910055464,0.00702023378272867,0.0178272801743672,-0.0078125556625694,0.0167139418450705,-0.0119713093657578,0.0144482095607586,0.0178497378873546,0.0135756724577615,0.0298022896701202,-0.0100752863357275,-0.0303698681368739,0.00972148880552741,0.0112188952947298,-0.00126852270425411,0.0268647889837974,0.030462191270837,0.0237445906804258,0.00855195419405799,0.00892441526406056,-0.0201418420612319,0.012493061568332,-0.0267640159281866
"ATF2",-0.0330809078931468,0.0172371921084679,-0.00460704964906095,0.0092247001480839,0.027860220358355,-0.0317026822997306,0.000795189052247224,-0.000262616334954939,-0.0182013280050274,-0.0491718085196606,0.0495617183974372,0.0459033270926187,0.0150835515806428,-0.00115602658411802,-0.0319545507942116,-0.000598224881179687,-0.00302555871288372,-0.0130541411545657,-0.0219850939439558,0.0177169141945374,0.0195467606007563,-0.0150362820914925,-0.0111919410582671,-0.0172026460662708,-0.0374177050634715,0.027107235569185,0.04427701855735,0.0254144026624,0.0305805773949629,0.0397378493050173,0.0401321165554562,0.0440531194733159,0.000710589934681354,0.00751177478765256,-0.00389891034868077,-0.0142788474632841,-0.00698633953510429,0.0417668213375981,-0.00676310575071868,-0.00982962154753967,-0.012002477871525,-0.0235307143487615,0.0060036480361277,-0.05056789189608,0.0224293780039421,-0.0250905460629577,-0.0193233308179656,-0.0392510475245882,0.0164281692037609,0.0121456355078411,-0.0249927625415273,-0.0206522340330833,0.00638420434357764,-0.0168656527568682,0.000574512198412721,-0.00161929214500398,-0.0224980042439454,-0.000499285793768246,-0.00482757441855581,0.0201642165644046,-0.00600519729328162,0.00756890924571691,-0.027564463641287,-0.0388932086660774,0.000994546377762319,0.0187182729039655,-0.00900864907147781,-0.00909553146056151,-0.0059074371453595,0.0409592555205968,0.0257801764998652,0.00650281401293135,-0.039030887373721,-0.00694259458753034,-0.00704019210280305,0.0375801669701937,0.0214083532820424,0.0366635713008293,0.00993733411032493,0.0336413843316933,-0.00430464200161974,-0.017908166632006,-0.017998815636538,-0.0141961216443744,-0.0740631922840612,-0.0278738807897289,-0.0314974335318088,0.0229698038739565,0.0058099120224093,0.00286736253111135,0.00175018489544497
"ATF3",-0.0643593074224003,-0.0101150284780231,0.00563596875602932,-0.0183145441931535,-0.0136006901463882,0.00201548744431009,0.035602364723458,-0.00318158272995872,0.0313388977960841,-0.0186079208505567,-0.025352386688292,0.0564759464565818,-0.0052911932536658,-0.0125503514305452,0.0153834152367761,0.0111852295384052,0.0250362140176599,-0.0285408897451076,0.0185612642954749,-0.0308189058792582,-0.0166599561310823,-0.0567786781962826,-0.0375444130416188,-0.0293596622546968,0.0214780897668793,0.0107309597669877,-0.0342466053419263,-0.00384042846542981,0.0410100390069546,-0.0247584159168046,0.0376802765610148,-0.0370973553787112,-0.0190795567901955,0.0383651486794578,-0.0182953087653077,0.00345255830455526,0.0402716784466636,-0.0174879947398359,-0.0306302332300607,-0.0184415128859932,-0.035131275340509,-0.0404239579079082,0.0462999947184623,0.023878520610919,0.0494775291894396,0.00865358808211978,0.0441177368741254,0.0416562079412724,-0.0161241799236255,-0.0159615570123722,-0.0189777591910394,0.0174057012788283,0.0214079715504315,0.0314550763296577,0.00814820790239591,0.0136962848906081,-0.0238833083733265,-0.0182205667939523,0.0673331236889937,-0.00811918106214468,0.0213093417802669,0.0137758067990675,0.0203674474335206,0.0372884564854985,-0.0577531029308816,-0.00881412242802878,0.0300655181221949,0.0527513578260479,-0.0510665340642378,-0.0378630747318561,-0.0209423354156997,0.0442621988918537,-0.0340152183890281,-0.0247260276850282,0.0547196440620323,0.0223229832375165,0.0269346228423534,0.0688667633917932,0.0292533005046429,-0.030711619431054,0.0305317390142829,-0.0067402936403512,-0.0170141882201912,-0.00954794164444578,0.0221986076123188,-0.0057973909997372,-0.00366885257493135,-0.0181955117259489,-0.0273384660285986,-0.00486522039085018,-0.0105008706879712
"ATF6A",0.0339646515636775,0.0115538015867679,0.0120605536454302,0.0193472328331798,0.0164050996935847,-0.013364084865293,-0.0365731575787424,0.0279634697624658,-0.00389860081097773,0.0418715531963483,0.0130206828765393,-0.00468079199733077,-0.0115068002183804,0.0271738632331896,-0.0114354891960107,-0.0227781000652932,0.0260288892422515,-0.0181983617518288,0.0184101762742843,0.00699241062801731,0.032405753551487,0.00849105711665111,0.00384546980100866,-0.00389745044084863,-0.00530169322787915,0.0252397934709536,-0.00355737774811538,0.0105621090000825,0.00100240286955515,0.005849587243749,-0.0204759786008172,0.00239146159359815,0.00567799680616734,-0.0471004121242162,0.0284812722857788,-0.00581793864520367,-0.015034541799089,-0.0182481955175695,0.0388164442191919,-0.00411638252656328,-0.00142922907433641,-0.0103940958728913,0.0179704388658976,-0.000882781890576651,0.0150133889615046,-0.0614425253142303,-0.00491564730080099,-0.00471211569452688,-0.0328337717614131,-0.0239723952075757,-0.0117312564262112,-0.0162342909988776,0.0145086772235232,0.00814817979273367,0.00531280979602031,-0.0194434173754356,-0.00843217572089031,0.0224165921366506,-0.0163567619880607,0.0126290075529112,0.0273682198509441,-0.000638219053143805,-0.0106485197879898,0.0051597091473196,-0.0108336812415355,-0.00167736431223686,-0.0246431112978763,-0.0169080469141216,-0.0217383325515888,0.0099430383324652,0.0383309985461245,-0.006457490166153,-0.0387029575701885,0.0289756887603309,-0.00889853467255469,0.0258247062780426,-0.0188125556311091,0.0144832122289915,-0.00764514032203726,-0.0334993568447292,0.0534077559004286,0.028142226870979,-0.0253189411884122,0.042290054915026,-0.018259727745953,-0.0107762955721646,-0.0582049390632854,0.00648292074970691,0.028370753206809,-0.00358896418084472,-0.0105726928248784
