"","ASCL1","ASCL1+KLF14","ASCL1+NEUROD1","ASCL1+NEUROG1","ASCL1+NR3C1","ASCL1+SIM1","ASCL1+TET2","ASCL1+TWIST1","ASCL1+VSX1","ASCL1+ZNF385A","ASCL1+ZNF547","ASCL1+ZNF660","ASCL1+ZNF776","KLF14","KLF14+NEUROD1","KLF14+NEUROG1","KLF14+NR3C1","KLF14+SIM1","KLF14+TET2","KLF14+TWIST1","KLF14+VSX1","KLF14+ZNF385A","KLF14+ZNF547","KLF14+ZNF660","KLF14+ZNF776","NEUROD1","NEUROD1+NEUROG1","NEUROD1+NR3C1","NEUROD1+SIM1","NEUROD1+TET2","NEUROD1+TWIST1","NEUROD1+VSX1","NEUROD1+ZNF385A","NEUROD1+ZNF547","NEUROD1+ZNF660","NEUROD1+ZNF776","NEUROG1","NEUROG1+NR3C1","NEUROG1+SIM1","NEUROG1+TET2","NEUROG1+TWIST1","NEUROG1+VSX1","NEUROG1+ZNF385A","NEUROG1+ZNF547","NEUROG1+ZNF660","NEUROG1+ZNF776","NR3C1","NR3C1+SIM1","NR3C1+TET2","NR3C1+TWIST1","NR3C1+VSX1","NR3C1+ZNF385A","NR3C1+ZNF547","NR3C1+ZNF660","NR3C1+ZNF776","SIM1","SIM1+TET2","SIM1+TWIST1","SIM1+VSX1","SIM1+ZNF385A","SIM1+ZNF547","SIM1+ZNF660","SIM1+ZNF776","TET2","TET2+TWIST1","TET2+VSX1","TET2+ZNF385A","TET2+ZNF547","TET2+ZNF660","TET2+ZNF776","TWIST1","TWIST1+VSX1","TWIST1+ZNF385A","TWIST1+ZNF547","TWIST1+ZNF660","TWIST1+ZNF776","VSX1","VSX1+ZNF385A","VSX1+ZNF547","VSX1+ZNF660","VSX1+ZNF776","ZNF385A","ZNF385A+ZNF547","ZNF385A+ZNF660","ZNF385A+ZNF776","ZNF547","ZNF547+ZNF660","ZNF547+ZNF776","ZNF660","ZNF660+ZNF776","ZNF776"
"AHR",0.729065346839458,0.968874253915234,0.971526457725809,0.983774077572445,0.998319527308872,0.933439517082926,0.916118752971398,0.902416228576168,0.976930707452956,0.954512956367804,0.839058079730742,0.972276841464726,0.980506435770751,0.907043073162676,0.942958473993412,0.965947230666248,0.997272812818238,0.998639242440547,0.975434050686408,0.998421485275758,0.975482995507963,0.884075090573165,0.997783194001173,0.980786152383397,0.992250844993649,0.956359620732734,0.906566053743698,0.959808915301429,0.990103476844994,0.808354188485136,0.772702740950634,0.560995277990951,0.980562724064892,0.942629294217034,0.932641740594952,0.991237601716542,0.935962820726468,0.869681779976815,0.999887196381578,0.812373997858442,0.993588626105459,0.963295601475685,0.969296896879889,0.923226158269343,0.817763922380347,0.970567990704212,0.811581356649934,0.997478906605894,0.95592819418516,0.951923563100258,0.881060417792044,0.511892681123024,0.936377273220026,0.834413693896078,0.930994827747627,0.996085761719513,0.834749539705284,0.976685634216179,0.990762487512851,0.639955709438376,0.960247030684646,0.884195674394059,0.988602952654873,0.954739784191995,0.927586517391255,0.952496907739926,0.992109962493338,0.989419664869723,0.973563037192072,0.951672698870617,0.989819211760037,0.986806893068096,0.964532859212253,0.990605355433856,0.949834151631593,0.985173568784816,0.931674871278248,0.859499205060375,0.953023358147415,0.945105210972307,0.87799925377272,0.954494057990303,0.89217515129195,0.916334620344847,0.840153218859902,0.912119180534333,0.945483376041767,0.918121756892384,0.971251292388804,0.979171805444997,0.743279342221898
"AIRE",0.720643184314902,0.986503692918196,0.959021771390746,0.915989013136221,0.67603988146254,0.954749889671411,0.954020671542733,0.660945520367711,0.976930707452956,0.958494968892858,0.839058079730742,0.975235355625904,0.756468486436773,0.934643703415075,0.959732207192937,0.970550758762389,0.997272812818238,0.998639242440547,0.986752283231202,0.998421485275758,0.975482995507963,0.884075090573165,0.973559804881182,0.980786152383397,0.950026493483702,0.734266808574662,0.906566053743698,0.959808915301429,0.928887395826281,0.985085776597969,0.784005081725696,0.744382025767867,0.980562724064892,0.942629294217034,0.956757475206165,0.991237601716542,0.968988258545989,0.956659263865522,0.962216315329391,0.906251903861299,0.993588626105459,0.963295601475685,0.969296896879889,0.99119756297759,0.777704431024139,0.949062912132171,0.884394198790692,0.997478906605894,0.883587658616606,0.966490480336219,0.965804590634771,0.945582967028999,0.847424909598139,0.99993230569539,0.991358604564773,0.996085761719513,0.998683793282545,0.988027463080552,0.944109962990209,0.91032043500339,0.954865606625044,0.978738918222021,0.961833238464015,0.917542653420734,0.998970264596742,0.952496907739926,0.992109962493338,0.990650040209574,0.991672797514388,0.951672698870617,0.932413904783055,0.986806893068096,0.964532859212253,0.989909849484362,0.981825957397777,0.909254051793202,0.939632120182356,0.950674111697099,0.931545483290691,0.933259503902988,0.87799925377272,0.993970179336778,0.950644212013689,0.973207579465988,0.935785463534243,0.912119180534333,0.945483376041767,0.260806812458155,0.981388180516773,0.979171805444997,0.993967185775731
"ALX1",0.917184045183252,0.968874253915234,0.973238807308357,0.983774077572445,0.998319527308872,0.933439517082926,0.987204069944017,0.998292367356908,0.976930707452956,0.954512956367804,0.964401247496312,0.972276841464726,0.980506435770751,0.907043073162676,0.934838969707957,0.992944210626672,0.998668503022334,0.998639242440547,0.998713094937798,0.998421485275758,0.975482995507963,0.992646408147786,0.997783194001173,0.980786152383397,0.836191600437098,0.990493080399305,0.980834615795287,0.959808915301429,0.928887395826281,0.964287980851744,0.992652476143648,0.911569158645666,0.980562724064892,0.942629294217034,0.956757475206165,0.991237601716542,0.935962820726468,0.940292057191878,0.999887196381578,0.946635769445822,0.993588626105459,0.963295601475685,0.843928208654408,0.99119756297759,0.811044656073672,0.949062912132171,0.983900957848265,0.997478906605894,0.947212818415383,0.900962762581555,0.809366973071738,0.98708911041045,0.936377273220026,0.970894827344724,0.955335477942671,0.996085761719513,0.998683793282545,0.976685634216179,0.978555314132977,0.996506880785824,0.592313208128571,0.943583224818914,0.964727006915708,0.954739784191995,0.763841723615187,0.952077270773308,0.964766846350362,0.975917363229893,0.562687198115845,0.951672698870617,0.932413904783055,0.986806893068096,0.964532859212253,0.989909849484362,0.953904974423213,0.985173568784816,0.996601247221028,0.986871266164964,0.953023358147415,0.933259503902988,0.87799925377272,0.993970179336778,0.651794401157627,0.87138219936482,0.935785463534243,0.912119180534333,0.945483376041767,0.970952655938109,0.392016936685925,0.874120541377799,0.993967185775731
"AR",0.644160310102056,0.986503692918196,0.959021771390746,0.983774077572445,0.998319527308872,0.933439517082926,0.916118752971398,0.998292367356908,0.976930707452956,0.954512956367804,0.784810657449294,0.972276841464726,0.980506435770751,0.974783513003162,0.677354137852241,0.940439131737622,0.997272812818238,0.998639242440547,0.948927440738968,0.0291376328663358,0.975482995507963,0.931033080535841,0.997783194001173,0.980786152383397,0.964879405054553,0.990493080399305,0.906566053743698,0.959808915301429,0.850413235997859,0.969592737093255,0.756971417132723,0.997096176803397,0.980562724064892,0.99615493334242,0.869873999170536,0.991237601716542,0.604372510918692,0.93009025639254,0.999887196381578,0.812373997858442,0.993588626105459,0.938332668296185,0.947288287851813,0.99119756297759,0.996528888251098,0.949062912132171,0.927277775744472,0.997478906605894,0.984925236204313,0.951923563100258,0.881060417792044,0.962174064491194,0.995081391685826,0.970894827344724,0.991358604564773,0.996085761719513,0.814118446347268,0.983458871596561,0.895769915907818,0.954653914809332,0.851226660350583,0.943583224818914,0.980136065287699,0.968430211924096,0.998970264596742,0.952496907739926,0.992109962493338,0.779374747941974,0.973563037192072,0.74907758693913,0.989819211760037,0.986806893068096,0.964532859212253,0.989909849484362,0.981825957397777,0.985173568784816,0.923941018121247,0.930472217446233,0.993561520345233,0.910221685899967,0.87799925377272,0.954494057990303,0.845703132133043,0.752865189997538,0.750107654842916,0.912119180534333,0.961475892707432,0.901425209958275,0.961631718091298,0.993654354656766,0.914715753127811
"TFAP2B",0.917184045183252,0.986503692918196,0.880628559271367,0.983774077572445,0.998319527308872,0.933439517082926,0.987204069944017,0.990047692600524,0.976930707452956,0.995687669087858,0.839058079730742,0.998551065984818,0.997127219120691,0.937052407878875,0.934838969707957,0.965947230666248,0.805573307891966,0.998639242440547,0.999101832770982,0.979500025294784,0.676441050351871,0.884075090573165,0.997783194001173,0.99886213325648,0.992250844993649,0.990493080399305,0.906566053743698,0.959808915301429,0.998368858530976,0.969592737093255,0.772702740950634,0.919935812981096,0.980562724064892,0.958246351490468,0.644326473444189,0.991237601716542,0.96820829935326,0.904045938776657,0.999887196381578,0.948048598487354,0.993588626105459,0.989573935209556,0.969296896879889,0.99119756297759,0.738722399407568,0.949062912132171,0.937369557447408,0.997478906605894,0.947212818415383,0.971827423573346,0.881060417792044,0.98708911041045,0.95479462404059,0.960320336041811,0.718973627558631,0.996085761719513,0.806462524166835,0.983458871596561,0.997961481535891,0.938143696662328,0.996056409445083,0.943583224818914,0.895226956021224,0.847850658021187,0.934718755752087,0.952496907739926,0.992109962493338,0.983355785384161,0.9025775988184,0.951672698870617,0.932413904783055,0.986806893068096,0.964532859212253,0.94148353720525,0.949834151631593,0.985173568784816,0.923941018121247,0.996520561010078,0.953023358147415,0.945105210972307,0.935213679077026,0.954494057990303,0.996299790263499,0.973207579465988,0.941320063051418,0.912119180534333,0.945718664909129,0.954227852485463,0.981388180516773,0.968339028414112,0.988149616922204
"ARI5B",0.644160310102056,0.968874253915234,0.971526457725809,0.999348367202855,0.998319527308872,0.933439517082926,0.86441045969593,0.959116938828324,0.976930707452956,0.954512956367804,0.938914919831167,0.972276841464726,0.997127219120691,0.907043073162676,0.949625871439466,0.999755877027734,0.986067610147858,0.998639242440547,0.998713094937798,0.966938912987977,0.975482995507963,0.884802332712946,0.973559804881182,0.980786152383397,0.992250844993649,0.990493080399305,0.980834615795287,0.803764406248369,0.928887395826281,0.936721596536018,0.992652476143648,0.997096176803397,0.980562724064892,0.610615784950701,0.894570629540887,0.991237601716542,0.96820829935326,0.956659263865522,0.999887196381578,0.758937823047737,0.993588626105459,0.963295601475685,0.930997201865433,0.688331872550651,0.996528888251098,0.949062912132171,0.811581356649934,0.997478906605894,0.947212818415383,0.900962762581555,0.840160027436915,0.594493946299182,0.95479462404059,0.834413693896078,0.991358604564773,0.996085761719513,0.998683793282545,0.983458871596561,0.978555314132977,0.973653492830542,0.960247030684646,0.943583224818914,0.632833905376847,0.847850658021187,0.506179111210534,0.962598605266822,0.992109962493338,0.990650040209574,0.940606238967185,0.951672698870617,0.932413904783055,0.986806893068096,0.999008020722189,0.928506892195057,0.949834151631593,0.985173568784816,0.945013044261782,0.930472217446233,0.953023358147415,0.933259503902988,0.922846638847331,0.962475680536054,0.89217515129195,0.853538493292037,0.840153218859902,0.912119180534333,0.945483376041767,0.954227852485463,0.981388180516773,0.993654354656766,0.993967185775731
"ASCL1",0.99757958929101,0.982359400379498,0.985919888765208,0.951112408185512,0.998319527308872,0.933439517082926,0.418627791770772,0.902416228576168,0.976930707452956,0.954512956367804,0.964401247496312,0.972276841464726,0.966673966954228,0.937052407878875,0.968999317483491,0.965947230666248,0.775503496081845,0.998639242440547,0.986752283231202,0.998421485275758,0.975482995507963,0.931033080535841,0.985881031261591,0.980786152383397,0.992250844993649,0.990493080399305,0.980834615795287,0.959808915301429,0.998368858530976,0.978062690727052,0.992652476143648,0.560995277990951,0.980562724064892,0.942629294217034,0.907907042578034,0.991237601716542,0.968988258545989,0.940292057191878,0.999887196381578,0.906180851759215,0.993588626105459,0.9535953201238,0.843928208654408,0.99119756297759,0.777704431024139,0.885201546869686,0.811581356649934,0.997478906605894,0.918022945345554,0.969186124250406,0.931260756269552,0.945582967028999,0.95479462404059,0.970894827344724,0.991358604564773,0.996085761719513,0.806462524166835,0.983458871596561,0.868318296304331,0.91032043500339,0.929285673042452,0.954887585474691,0.895226956021224,0.954739784191995,0.927586517391255,0.957932145707087,0.992212279046306,0.990650040209574,0.940606238967185,0.951672698870617,0.94402267472142,0.986806893068096,0.99198188908632,0.989909849484362,0.270574711011894,0.985173568784816,0.923941018121247,0.859499205060375,0.954202782626039,0.933259503902988,0.905306666914241,0.954494057990303,0.996299790263499,0.973207579465988,0.906278486701948,0.986510793991887,0.945483376041767,0.930468263337677,0.990054729436787,0.967786251029881,0.993967185775731
"ATF2",0.729065346839458,0.961065432207951,0.971526457725809,0.983774077572445,0.998319527308872,0.933439517082926,0.910919872314212,0.998292367356908,0.976930707452956,0.995687669087858,0.983985913711431,0.972276841464726,0.756468486436773,0.937052407878875,0.959732207192937,0.970550758762389,0.805573307891966,0.998639242440547,0.986752283231202,0.998421485275758,0.975482995507963,0.992646408147786,0.681571838252761,0.980786152383397,0.992250844993649,0.990493080399305,0.980834615795287,0.959808915301429,0.945835021389558,0.808354188485136,0.992652476143648,0.560995277990951,0.980562724064892,0.994066282272469,0.907907042578034,0.991237601716542,0.968988258545989,0.926993622213325,0.999887196381578,0.773710884832667,0.993588626105459,0.2395117659655,0.938682474591716,0.99119756297759,0.968934423366259,0.949062912132171,0.811581356649934,0.997478906605894,0.918022945345554,0.966579497680105,0.931260756269552,0.985204644797683,0.936377273220026,0.955364108487121,0.991358604564773,0.996085761719513,0.96253654682886,0.976685634216179,0.714720675359773,0.933177438619004,0.960247030684646,0.943583224818914,0.895226956021224,0.954739784191995,0.934718755752087,0.952496907739926,0.992109962493338,0.990650040209574,0.9025775988184,0.951672698870617,0.94402267472142,0.986806893068096,0.964532859212253,0.989909849484362,0.949834151631593,0.657903590465351,0.923941018121247,0.996520561010078,0.931545483290691,0.910221685899967,0.891379438159289,0.954494057990303,0.636483518243861,0.74697641006071,0.840153218859902,0.912119180534333,0.945483376041767,0.973058766890347,0.981388180516773,0.880357036604249,0.993967185775731
"ATF3",0.894882127398475,0.989710323348998,0.959021771390746,0.983774077572445,0.998319527308872,0.933439517082926,0.86441045969593,0.987308621569904,0.976930707452956,0.990812737192087,0.996891882588112,0.972276841464726,0.835808194137671,0.937052407878875,0.942958473993412,0.970550758762389,0.937109986705951,0.998639242440547,0.986752283231202,0.998421485275758,0.975482995507963,0.884075090573165,0.973559804881182,0.980786152383397,0.964879405054553,0.990493080399305,0.981895726737833,0.959808915301429,0.990103476844994,0.936721596536018,0.992652476143648,0.838485487071082,0.980562724064892,0.958246351490468,0.888178304564739,0.991237601716542,0.968988258545989,0.904045938776657,0.999887196381578,0.946635769445822,0.993588626105459,0.938332668296185,0.969780524819695,0.99119756297759,0.970629734366041,0.949062912132171,0.811581356649934,0.997478906605894,0.778858297997223,0.97517439999094,0.931260756269552,0.954080617447691,0.95479462404059,0.970894827344724,0.947341703454957,0.996085761719513,0.834749539705284,0.976685634216179,0.978555314132977,0.938143696662328,0.954865606625044,0.963216250601429,0.961833238464015,0.954739784191995,0.854025656123047,0.952496907739926,0.992109962493338,0.990650040209574,0.9025775988184,0.951672698870617,0.94402267472142,0.99329343960086,0.990143410678442,0.998393770093597,0.981825957397777,0.985173568784816,0.923941018121247,0.990665790042637,0.953023358147415,0.933259503902988,0.92626691182654,0.990997059463523,0.89217515129195,0.973207579465988,0.935785463534243,0.904905589572621,0.947571368460933,0.995399118195295,0.971251292388804,0.968339028414112,0.993967185775731
"ATF6A",0.762120669459485,0.968874253915234,0.971526457725809,0.915989013136221,0.998319527308872,0.933439517082926,0.916118752971398,0.902416228576168,0.976930707452956,0.954512956367804,0.964401247496312,0.975235355625904,0.835808194137671,0.963486968602792,0.975981680838733,0.940439131737622,0.805573307891966,0.998639242440547,0.986752283231202,0.998421485275758,0.975482995507963,0.96226779816822,0.985881031261591,0.980786152383397,0.992250844993649,0.990493080399305,0.906566053743698,0.959808915301429,0.990103476844994,0.808354188485136,0.772702740950634,0.917864017200976,0.980562724064892,0.994066282272469,0.949003478119608,0.991237601716542,0.968988258545989,0.904045938776657,0.999887196381578,0.889533348486002,0.993588626105459,0.963295601475685,0.930997201865433,0.99119756297759,0.811044656073672,0.873429419972295,0.811581356649934,0.997478906605894,0.928745525774239,0.951923563100258,0.965804590634771,0.945582967028999,0.995081391685826,0.812513839912733,0.80139624572743,0.996085761719513,0.998683793282545,0.983458871596561,0.978555314132977,0.709859463090088,0.971571810751424,0.943583224818914,0.948744905798247,0.954739784191995,0.998970264596742,0.952496907739926,0.992109962493338,0.70318544077577,0.940606238967185,0.951672698870617,0.94402267472142,0.986806893068096,0.964532859212253,0.928506892195057,0.949834151631593,0.528839925293648,0.664136892040088,0.950674111697099,0.969637123486491,0.9532138143531,0.938694520675604,0.954494057990303,0.845703132133043,0.853538493292037,0.941320063051418,0.916808197032654,0.793853424280342,0.901425209958275,0.971490868201985,0.968339028414112,0.993967185775731
