"","ASCL1","ASCL1+KLF14","ASCL1+NEUROD1","ASCL1+NEUROG1","ASCL1+NR3C1","ASCL1+SIM1","ASCL1+TET2","ASCL1+TWIST1","ASCL1+VSX1","ASCL1+ZNF385A","ASCL1+ZNF547","ASCL1+ZNF660","ASCL1+ZNF776","KLF14","KLF14+NEUROD1","KLF14+NEUROG1","KLF14+NR3C1","KLF14+SIM1","KLF14+TET2","KLF14+TWIST1","KLF14+VSX1","KLF14+ZNF385A","KLF14+ZNF547","KLF14+ZNF660","KLF14+ZNF776","NEUROD1","NEUROD1+NEUROG1","NEUROD1+NR3C1","NEUROD1+SIM1","NEUROD1+TET2","NEUROD1+TWIST1","NEUROD1+VSX1","NEUROD1+ZNF385A","NEUROD1+ZNF547","NEUROD1+ZNF660","NEUROD1+ZNF776","NEUROG1","NEUROG1+NR3C1","NEUROG1+SIM1","NEUROG1+TET2","NEUROG1+TWIST1","NEUROG1+VSX1","NEUROG1+ZNF385A","NEUROG1+ZNF547","NEUROG1+ZNF660","NEUROG1+ZNF776","NR3C1","NR3C1+SIM1","NR3C1+TET2","NR3C1+TWIST1","NR3C1+VSX1","NR3C1+ZNF385A","NR3C1+ZNF547","NR3C1+ZNF660","NR3C1+ZNF776","SIM1","SIM1+TET2","SIM1+TWIST1","SIM1+VSX1","SIM1+ZNF385A","SIM1+ZNF547","SIM1+ZNF660","SIM1+ZNF776","TET2","TET2+TWIST1","TET2+VSX1","TET2+ZNF385A","TET2+ZNF547","TET2+ZNF660","TET2+ZNF776","TWIST1","TWIST1+VSX1","TWIST1+ZNF385A","TWIST1+ZNF547","TWIST1+ZNF660","TWIST1+ZNF776","VSX1","VSX1+ZNF385A","VSX1+ZNF547","VSX1+ZNF660","VSX1+ZNF776","ZNF385A","ZNF385A+ZNF547","ZNF385A+ZNF660","ZNF385A+ZNF776","ZNF547","ZNF547+ZNF660","ZNF547+ZNF776","ZNF660","ZNF660+ZNF776","ZNF776"
"AHR",0.0712337788877555,-0.0227053268391826,-0.0396390517895701,-0.0138694172741083,-0.00396367386506379,0.0616884983103378,0.0296609726266509,0.0536377136058832,0.0172298254489429,0.0467514623538535,0.0506340144140802,0.0613680762432454,0.0191147775487399,0.0541879258307472,-0.0337615015512302,-0.0177055581404283,-0.0283319254605841,-0.0275693770876776,-0.0483134947480455,0.0165542122325488,0.044199586352523,0.0463598682117139,0.00534531625308086,0.0167681590923314,0.00882986596508543,0.0742552787355065,-0.0387335817272183,-0.0287044769822683,-0.0109474091907017,0.067176683270344,0.0637144292220101,-0.0920043146418243,0.0334374771271087,0.0339809611128648,-0.0360438604476312,-0.0185103171925914,0.0712238428422094,0.0631363746274366,0.0366875743245443,-0.0601039014088365,-0.0208297173257735,0.00933857367657203,-0.026094440118008,-0.0869167534705531,-0.0390544452495229,0.0149911609456703,0.0697325717158815,-0.00765868445618914,0.0164025151260408,-0.0210453919393246,-0.0498200771070461,-0.0877633387770461,-0.0496803927326526,0.0738347009249257,0.0490303931429134,-0.0240926913681304,0.0561842430584592,-0.0345200981053782,-0.00287539003464948,0.0906053652639623,-0.00877428880052297,0.0587217719513919,0.00122702307142155,-0.0281477708702739,0.0319673054687739,-0.0244607887336146,0.00212765116192716,0.0226640413599736,0.011494255804083,0.034087316204845,-0.00351933433096229,0.0185547517981836,0.00601821434332256,-0.00691094219055476,-0.0311325677311159,-0.0326670761214745,0.0215989802587434,0.0718058142642479,0.0306376959355664,-0.0196342135983211,-0.0414553360862707,0.0470392872913871,0.0387500478904094,-0.0333100268606575,-0.0595347956315226,-0.0322490023309876,-0.011657894520439,-0.0456213782489098,-0.0446186801725283,0.00660204091205424,0.104101274971152
"AIRE",-0.0399163473415899,0.00271300508473378,0.0309599549194154,0.0288158454131456,-0.0461498291080225,-0.00486825434300834,0.0111299225547611,0.0502994762171176,-0.0138349855996192,-0.0160650361221062,0.0245151527722882,-0.00858452941400825,0.0449206202827942,0.0180228077683852,-0.0121775117079018,0.0039231114621296,-0.00902021189339921,0.0067054449288986,-0.0137679476040906,-0.0119576134894583,-0.0183105743571649,-0.0379626380016572,-0.0298631150716354,0.0221719308195079,0.0181767068617727,0.0470789847590419,0.0275179538747448,0.0129683472317151,-0.02576650107452,-0.000476409881721248,0.0227298819733975,0.0281908060443261,0.00263059927673238,0.0171942260902501,-0.00342792776799796,-0.0171890299089466,0.00732175337124723,0.0064134695113019,-0.0428965448258489,0.0125978752507201,-0.00494527052546827,0.0130326363950839,0.0100224737176695,-0.0282438401701474,-0.0323052325994583,-0.00962287226244123,0.0175366571773505,-0.0235674868389164,0.028328902627246,0.00554604037840249,-0.00776304816367846,-0.0127486693738913,-0.0578779180569636,3.26815168544754e-05,0.00491616587611348,-0.00573458775871415,-0.00368657062823599,0.00109244137979326,-0.0187420099959054,-0.0274153276342776,-0.00538594349388618,0.00351637088129713,0.0103759822699816,0.0241398865595612,0.000959169412876606,0.021617544633458,-0.0180365142922939,-0.00301555099696917,0.002451986985507,-0.0199042558472649,-0.0333825036220249,-0.0143481326299288,-0.00777054608109614,-0.0102543914663844,0.00292542601568443,-0.0284984728594606,0.00570209917239858,-0.0142043584965865,-0.0194027501520745,-0.0188789672519754,-0.0348438988170998,-0.00387056357828303,-0.0147377987397731,-0.00692415412660557,-0.0154185221235902,0.014405972714736,0.0140571368253067,0.0583154284300233,0.00463835886119968,-0.00318896676508098,-0.013256753833049
"ALX1",0.0126134194674529,0.00811097548461875,-0.0112119734125439,0.00469134139712545,0.012786226644746,-0.0208421094616161,0.00487656664557974,0.0036211362640317,0.00714782755227536,-0.0182695818514382,0.00537308439877304,0.0143074637760348,-0.00811948406505476,0.0250883426578782,-0.0200780270518537,0.000575132867701803,0.00226147888412361,0.00455670500840498,0.00597662728198564,-3.96692598804644e-05,-0.00991596958920881,-0.00122960018687881,-0.00330314298533882,-0.0118613603357821,0.0341740113201679,0.00396072319959058,0.0110920989292527,0.0112379499944694,0.0246018663952952,0.0150634622509738,0.00284069112385695,0.0143339932243837,0.0138465834973879,-0.0321573082705466,-0.0070207150663479,-0.00239097630465593,0.0343214476315813,0.0128673530147971,0.00218862181248444,0.00789955566122629,0.00314462270399157,-0.00900796464232803,-0.0366959797498994,-0.00126337148570877,-0.0246995477049525,-0.0174423693895817,0.00803651500727355,0.00872365221675949,0.0112424361244081,0.0293229744318574,-0.0359319773631027,-0.00126408507476917,-0.0166428025406578,0.00231931126389516,-0.0164413927761857,0.020755844899747,0.00185775678287391,0.0242071515501071,-0.012487030583199,-0.00511463972842916,-0.0465743178554681,0.0134900503757556,-0.00570891580880898,0.0142090569954787,-0.040861118862063,0.027673723577096,-0.0255428505251479,-0.012719434301225,0.0493832956949981,0.00949164097810275,-0.0285272486936937,-0.00644706383957737,-0.0204605445745633,0.00949899919409412,0.0116695605819896,-0.0088042195053002,-0.000754677124130022,0.0104704738873481,-0.0170155958493189,0.0116469891449866,-0.0275552764719122,-0.000986194921085404,0.0420624513808191,0.0174305261309093,0.0151540724768191,0.0293889257550665,0.0292851969439721,-0.00789162249787303,-0.0687631002844787,-0.0281189483443547,0.0114114318752132
"AR",0.0303270320813675,-0.00212123534325166,-0.0194875221818009,0.00760152896267026,0.00683698966050266,0.0108218592560228,-0.0116127951578282,0.000462229383165888,0.00471957845928496,0.0120855301398822,0.0235681333085595,-0.0129606247492632,0.00416523928254123,-0.000970348970581788,-0.0333373731682114,-0.0134361418764686,0.00799669313217958,-0.0127265355222401,0.0205059081024087,-0.0486787637968244,0.017349706509109,0.00756552522838454,-0.000920774320088157,-0.014651567137083,-0.00759992759339724,0.0145678520891998,-0.018612755953315,-0.0174335497074767,-0.0208404909350039,0.00571409927920024,-0.0219577354491676,0.00054669564490471,-0.00214508539863208,-0.000542978052664223,0.0186388257470761,0.00334185712610128,-0.0305103164853512,0.00877609063641573,0.00151484936665412,-0.0175377207238551,0.0160234307876889,0.0123917622973212,0.00882139343742598,0.0110008924047102,-0.00144801337054989,-0.0061535016808334,-0.0082461605527221,0.00440380901708736,-0.000844738349098306,-0.00628390548785784,0.0165949711410071,0.00490575844126627,-0.000411334368803122,-0.00269735760355463,-0.000293331097021298,-0.035503197442396,-0.019789622396773,0.00765072532301583,0.012910458518461,0.00772630970010513,0.0136988835299469,0.0086669546161645,-0.000760806832916341,-0.00206518675015087,-0.000111318493081239,-0.0132383174599456,-0.00808302742319541,-0.016668569871847,-0.00499120863422378,-0.0243268076001311,0.00134951612817063,-0.0050207725171769,-0.0183785454736912,-0.00572287207473272,0.00201399803605165,0.0135855291258824,-0.00986753490302163,0.0108672620810871,-0.00316163049291436,-0.0144090472573457,-0.0122976102119948,0.016322913943428,-0.0181782156096881,-0.0173175271059559,0.0271727434013603,-0.0104957468342344,0.00160714044051119,-0.0176258654142036,0.018411210514602,0.000414381350805525,0.0190593554983744
"TFAP2B",-0.00942065439929756,-0.00305386414582928,-0.0376680133078001,0.00402824960715964,0.017768614238174,-0.0104403667527542,0.00156522498508195,0.00664513799143975,-0.00180525183305398,-0.000688809966716539,0.0184446163187089,-0.00043077004000212,0.000528049059865508,-0.0103241470145682,-0.0155064016888273,-0.00628006883069496,-0.0197948267526621,0.00489099613727464,0.00168654728827162,0.0123305188531581,0.0292469472055429,0.0152983009132863,0.00428540565217087,0.000309611476203845,-0.000555063574987662,0.0159768903280227,-0.016452419578446,0.00449410396853605,-0.000539144033812081,0.00711601956373539,-0.0188521226757263,0.00636607313284818,0.0114352929480862,0.00999521264130636,0.0327062751006884,-0.00921720003121457,-0.00818559916136446,-0.0184349612961048,-0.00827458887448032,0.00520367393823198,-0.0160219046996557,-0.000849669175310153,0.00788276365220959,0.00996243873300485,0.0295201695947914,-0.0138269793294728,-0.00810770750446143,0.0184479190365518,-0.008256997377872,0.00188722979169164,0.022529704147453,-0.000575597013453678,0.00926066636111527,-0.0110475335077082,0.0259768540517559,-0.0250785455875114,-0.0297431093392945,0.00638881994359054,-3.81493396235547e-05,0.0161926127110172,-8.92619490957744e-05,0.0102733402158696,0.0138145159125088,0.0375864051563569,-0.00513948561866376,-0.00628856268552719,-0.00205434548972877,-0.00854309241907218,-0.0284578088844659,-0.00744234405107241,0.0229208911673988,-0.0183060320209915,0.0149433252468757,-0.0168501012286099,-0.0188490917422648,-0.00298037168220186,-0.0216289578117455,-0.00433479333445062,-0.00843979606520772,0.00644260570634444,0.00320034854945515,-0.0137677290891316,-0.00168899866002596,0.00542564990589504,-0.00631555716531557,0.0166868311600059,0.00336607644341043,-0.00839063069192375,0.00396172716668969,-0.00432762244004196,-0.0166016336974359
"ARI5B",-0.0550337126393575,-0.0118843159474496,0.0203768344378511,-0.00284443094041434,-0.0284769596498642,0.0150423604973995,0.0282597751812938,-0.0185595326349128,-0.0300485474071948,-0.0278589112205615,-0.0164950984777217,-0.0231022328401801,0.000338561096078497,0.0296029920857073,0.0163874730759657,-6.82588432955503e-06,-0.0167211624415707,-0.0241644689865447,-0.00745853939096059,-0.0334157294808862,-0.031201097507896,0.0188334559974532,0.0241645227488186,0.0256565860274653,0.00826179285856548,0.0185904596885682,-0.0148744020893716,-0.0524127068431761,0.0256206053907703,0.0228202394233452,-0.00557881820746984,-0.0026874113233902,0.00340237971145488,-0.0575868434755311,0.0247380159668509,0.0130946692834413,0.0124395050762288,0.00727493988924125,0.00309142280136839,0.0559963301690615,-0.00792532986415692,0.0117572356776704,0.0286612867668058,-0.055118393318347,0.000152135879376524,-0.0129291945778559,-0.0371211428416926,0.00721455215179543,-0.0150328345876535,-0.0318371284416518,-0.038170722493826,0.0421638747140599,0.0125041809234678,-0.0378691715478402,0.00176167543044496,-0.00523302030457696,-0.00466349236301106,-0.0123839051783817,0.0201498188839943,0.0116713524200939,0.00373187032976674,-0.0169858629962155,0.0477445291185952,0.0346447183050323,-0.0565431984012349,-0.00554013091216656,0.00262166016634629,-0.00414829385940646,0.0147260672639901,0.0171751086699121,-0.0364411931965752,-0.0278543350005382,-2.8749044997875e-05,-0.0295776158540167,-0.0260000685492675,-0.0129618839257931,-0.00439555158589545,0.0212469871155042,-0.0155187037713417,0.0125649587595407,-0.00729683715226867,-0.0111434537727816,0.0208696999001674,-0.0235058425543275,-0.0329817539587376,-0.0224961312585043,-0.0306316780225149,-0.0141262480456856,0.00624910411345865,-0.000790309088761076,-0.017044700286524
"ASCL1",-0.000318178369234472,0.00441148304004597,0.00158353278717881,-0.0189015356593648,-0.0104111489523255,0.0105261263141093,0.0391503635505893,-0.0215570265390725,0.00215422840152245,-0.0268333750527529,0.00422494304605927,-0.0132879005968028,0.011571678814175,0.00536572276929943,-0.00728505467493284,0.00653618999063231,0.031431514357044,-0.024312968279486,0.00946938970056684,-0.0100156771577462,-0.00486424907333521,-0.010793209363531,0.00954335801722159,0.00430403042302138,-0.000822681455054363,0.000971647823258625,-0.00993973383030478,0.0151258005534579,-0.000205092190812857,0.00295894641294162,0.000822692324463947,0.0419579080313627,-0.0348458328895286,-0.0132571175321221,-0.016135643880466,-0.0161047062464501,0.00822997198018491,-0.0108612696074655,0.00764078586135292,0.013168663125532,0.0187887465932238,0.014185902865375,0.0327162251514318,-0.00341737149724884,0.0249721065487286,0.0267966529623841,0.0302601998397652,-0.0017895868941134,0.021929984506511,-0.00252489866564525,0.0131207729425342,0.0135176469314058,-0.00971286023707454,0.00843241932330964,0.00436522818727815,0.0102305592901605,0.0320985945443715,-0.00578106144592951,-0.0199481007988789,0.0209472747188469,-0.00681197406958293,0.00743251004104249,0.0151403212961441,-0.00936712089484986,0.0132340173789401,0.00595247852246451,0.000591672395273956,-0.00424496574347398,0.0106006458933908,0.0122742183639909,-0.017436730800085,0.0211793434302259,0.000252212429290909,0.00303197113575022,0.0564564593825673,-0.00376326283198005,0.0143456143325371,0.0244204816899128,-0.00868305974467104,-0.0093007211090819,0.00880463674291155,0.0172769899544785,-0.00120072910307318,-0.00414654006126729,0.0212513653372667,0.0035812947692574,0.00606524173731504,-0.0135421864123359,-0.00043097656391877,-0.00711087773128888,-0.00360904598246153
"ATF2",-0.0385448692437218,0.0229500863748741,0.0208669381030153,0.00508181289491722,0.0128665518287395,-0.0121811656410932,0.0229144003217391,0.00638624760549487,0.0357860444957336,-0.000112418872919061,0.00219678162125205,0.0269996722928972,0.0468963608781105,0.00884420976676159,0.0118936659623798,0.00669778257377164,0.0267063517741713,-0.0365898532158947,-0.017682431208427,0.0112978555552075,0.0185309631315914,0.00492813068338494,-0.048282643111077,0.00519084795526379,0.00176882848218185,0.00285864199862614,0.00610962237234662,-0.0182683388990764,0.0155868210021418,0.0372249545277245,0.00786199105902904,0.0458883096367668,-0.0152090406627646,-0.00539974818152567,0.0200956858492333,-0.0288639443878573,0.00987481194614748,0.0162640592896599,0.010310498560017,-0.0347576968231829,0.012699907595857,-0.0618220161728666,-0.0172026370336364,-0.0101367622955258,-0.00737461575942761,-0.0173310755332741,-0.0327801384417942,0.0047332158197345,0.0284836049810165,0.00548668484317643,0.0124088515527382,-0.00627718692649645,0.0215584202034525,0.0212674054150343,-0.00525721540702948,0.00111007103112008,-0.0136719277127047,0.0145671218432766,0.0373869864020505,0.0226264300463624,0.00341167521179602,-0.013363642164956,0.0175786869682706,0.0190281589330082,-0.00912777706544,0.0218835859380956,0.0150477021313872,-0.00185263364328555,0.037071145168092,-0.0119487314404308,0.0206142354850137,0.00529870414658347,0.00711150165622016,0.00606120699318189,-0.017899983199256,0.0383992796368508,0.0257298098203942,0.00363930472191646,-0.0189318575147492,0.0206769765902033,0.0137511281834569,-0.012902391734623,0.0450854742260334,-0.0301019549005017,-0.0334637514821707,-0.0280931541935307,-0.0172566749578467,0.00547728670902964,0.00452316092420281,-0.0210249296314416,-0.000875306493153661
"ATF3",-0.0267527405558067,0.00201305224155532,-0.0396378508368664,0.0101725623130099,0.0203193724439325,-0.0239627395601682,-0.0405598370899747,0.016513552805893,0.0504851651006426,-0.0113101818488352,0.00204632100307053,-0.02617221652067,0.0393032742453097,0.0130565939202051,0.0250485833367582,-0.00575975890072706,0.0306755951494498,0.000892574082471917,0.0228856249301884,-0.00279861645922244,0.00361504873434885,-0.0548338237312693,-0.0310915484312152,0.0181740827088076,0.0213343885665758,0.0179121911310711,0.00569847371007278,-0.020444164873182,0.00376421600048768,-0.0289787542500821,0.0135950973660919,-0.0386194664132224,-0.0104328063637636,-0.0216513273051993,-0.0398306020659731,-0.0252324512776647,0.00702911496623436,0.0280654752431929,-4.47371365456625e-06,-0.0120159419328788,-0.0258152334043997,0.0301696357395195,-0.00783029948822854,0.0129434597472123,0.010765495981769,-0.0176834046857911,0.0427456619657838,0.0195794667357692,0.0537683577291731,-0.00307357204490292,-0.0291838953803929,0.016486779125527,0.0193532114469727,-0.015534784648023,0.0364914553179969,0.00169300601247847,-0.0482637620187042,0.0312170018167806,0.02203932361689,-0.0273348615167664,0.0114571571837708,-0.00804752511333502,0.0118633667228149,0.0228682429552918,-0.0497311908508131,-0.0170515388838898,0.0261345278056153,0.00165050447646841,-0.0537492982738775,-0.0327380547254046,-0.0284384484770659,0.00384805692369136,-0.00167519002780878,0.00182385772543185,0.00643286239241954,0.00736065362916471,0.0322386925597478,0.0147175037176765,0.0237848900626469,-0.0276658585827552,0.00945940286268191,-0.010087424475198,0.0316406828513287,0.0212840070583572,0.0396106329489592,-0.0517851073161566,0.00566801515444077,0.00273694834380452,-0.0391317453059546,-0.00609722084678616,-0.0329541628383339
"ATF6A",-0.0293367883627448,0.0112954043399127,-0.0170055566197657,0.0342289909907571,0.00789947675088621,-0.0195619146100903,-0.0195524138514002,0.0214776172869928,0.0240238771092155,0.0369512825761818,0.00688579481771427,-0.0113552282802097,-0.0300922345018502,-0.00317174155706646,0.00441745939683923,-0.0209310564331116,0.03295455791117,-0.0312833540706532,0.0177078694477424,-0.00140278042609359,-0.0116052421944904,0.00870058266196004,0.0119218101940854,0.00842285060712845,0.00610199225692079,0.0138776153791807,0.0245841598037868,0.00795350391434277,0.00602719568628082,-0.0420522540975579,-0.0287055411183519,-0.0151216248908677,0.0154713768469049,-0.00410140082978911,0.0130359350168987,0.0122795941444059,-0.00727807007778269,0.0272642246727263,0.0248921670711983,-0.0210394559766553,0.0354239412319341,0.00668630254023386,0.0323491374956533,-0.00165248911226931,0.0242627809079495,-0.0500816487540791,0.0361462788885224,0.0285106380539524,-0.0270894878334814,-0.0199233395608433,-0.00885282187109276,0.0180803054051922,-0.000511963316955685,0.047302802271234,-0.0358312228219006,-0.032086294871606,-0.00571644026694074,-0.00906419758266205,-0.0153995170174781,-0.0438882412028749,0.00275175622068149,0.0186848649020154,-0.0163079040198207,-0.0120236075108528,-0.000708545184539972,-0.0154216285964449,0.00717304309899919,-0.0395972711783485,-0.0161540922818033,-0.0177745894249264,0.0267839351586179,-0.010152017404885,-0.00632091410635567,0.028798835569906,0.0170379544474029,0.0531835020502196,-0.047778821917056,-0.0166581898626247,-0.00837690655900865,0.0040278224264274,-0.00417244508999879,-0.0420277053147871,-0.0422787720776123,0.0238145427834175,-0.00794747646762635,0.0142540311690817,-0.0519915072585857,0.0270163726446897,-0.0121643965165158,0.00753485566332505,-0.00253913288686983
