"Perturbation","TF","coef","FDR","direction"
"KLF14+ZNF385A","OVOL1",-0.121700953141995,0.00051505265066512,"less_active"
"NEUROD1","TFGroup_14",-0.0668177855677232,0.0943991134939349,"less_active"
"NEUROD1+ZNF660","ETS2",0.0524532581967684,0.0294958279603529,"more_active"
"NEUROG1+ZNF776","OZF",0.083777531270996,0.0336056747233654,"more_active"
"SIM1","DBP",0.116598592526837,0.0293087117809216,"more_active"
"SIM1","GFI1",-0.0910184075526254,0.0783336268556028,"less_active"
"SIM1+TET2","NFAC4",0.0725572218971411,0.0866640463906603,"more_active"
"TET2+ZNF660","SRBP1",0.091971407395573,0.062067707385467,"more_active"
"TWIST1+ZNF547","RXRA",-0.0582559878689948,0.00867298679610352,"less_active"
"ZNF385A+ZNF547","ZN140",-0.0690559815458287,0.0963351548267278,"less_active"
"ZNF547","AIRE",0.0984847408134026,0.0207642125852553,"more_active"
