"","PT_seg01","PT_seg02","PT_seg03","PT_seg04","PT_seg05","PT_seg06","PT_seg07","PT_seg08","PT_seg09","PT_seg10","PT_seg11","PT_seg12","PT_seg13","PT_seg14","PT_seg15","PT_seg16"
"AHR",1,0.956070415652464,0.975490501720337,0.969341215106646,0.898174877589122,0.8076856751292,0.939190155874111,0.950853675201909,0.967683090924262,0.952384562085996,0.722999484524251,0.630871488465967,0.899264574153588,0.903526685895267,0.884948467093055,0.666232579576105
"AIRE",1,0.620490605412984,0.884322476883516,0.897996533393907,0.993916578306901,0.994692199861803,0.864684247922374,0.848145514390106,0.153382282567434,0.737250439159189,0.812618489350783,0.850721110392185,0.647684713196083,0.196304834417997,0.554901656720707,0.304817586460582
"ALX1",1,0.956070415652464,0.995979668421687,0.842626921352854,0.747244863282041,0.838618887217342,0.981667111438833,0.787168352587203,0.629843727557052,0.623308810467699,0.604217335390848,0.774818591403238,0.945345274124798,0.907213212278091,0.455690680567566,0.764986565364941
"AR",1,0.98408019031874,0.995979668421687,0.98351757899717,0.733334735506848,0.80513298299067,0.878031060519219,0.787168352587203,0.610812651650559,0.805497180737416,0.294434347682413,0.0933348526509485,0.431182043528203,0.0998607974589626,0.273835048861438,0.41361557251911
"TFAP2B",1,0.98408019031874,0.995979668421687,0.974158366456649,0.664984227205943,0.934199636110939,0.847479244465796,0.969480992691072,0.919724509259245,0.696676648340217,0.995770616837039,0.756551467274209,0.461837704519598,0.897776882892286,0.368780022124672,0.635631174669063
"ARI5B",1,0.98408019031874,0.957984213219975,0.969341215106646,0.872348411505346,0.798621830522723,0.866369842283461,0.787168352587203,0.889320825356995,0.427443626095681,0.645471644400739,0.807211505725496,0.958416457338643,0.935878546282571,0.250832529519252,0.515530268931434
"ASCL1",1,0.908088608102977,0.867539705419425,0.700142056940799,0.862259088590325,0.798621830522723,0.991906625310941,0.849873040895543,0.774353893743258,0.657003454833364,0.972601912213401,0.803815447742779,0.945345274124798,0.586102469892216,0.468718808745634,0.673439271822253
"ATF2",1,0.98408019031874,0.946932806421142,0.969341215106646,0.733334735506848,0.934843265917838,0.00915924820756124,0.788997403116444,0.409551232972648,0.737250439159189,0.621863389774342,0.613014676050466,0.647897296504326,0.591460900514358,0.973538774829145,0.0516678409841052
"ATF3",1,0.956070415652464,0.867483327456948,0.941656274363736,0.999395563012901,0.326486020489991,0.955399119321446,0.634189470019497,0.78681177835622,0.69137680923474,0.983037411826462,0.826988010401596,0.931340191477214,0.952785748994046,0.169713636214517,0.840825939945768
"ATF6A",1,0.956070415652464,0.994195381135483,0.941656274363736,0.900594559510192,0.798621830522723,0.847479244465796,0.312037815124139,0.875392940150283,0.785932472808087,0.669580658195612,0.147343287495192,0.0978313259564951,0.175446556021997,0.173347244777503,0.112822687615452
"BACH1",1,0.956070415652464,0.74627517493716,0.941656274363736,0.898174877589122,0.838618887217342,0.342894936321931,0.927374714835903,0.314690812859936,0.819733802584539,0.56850026610325,0.498312004398202,0.280913188037958,0.951457336561893,0.777709314173456,0.792245331861288
"BATF3",1,0.921365829174799,0.881885165100991,0.876489585264397,0.733334735506848,0.940909263277609,0.996223615571721,0.848145514390106,0.834719148794322,0.980867966841765,0.622323365346666,0.972515724851193,0.505261582324773,0.671243298178554,0.859960799722937,0.639466489113123
"BATF",1,0.956070415652464,0.867483327456948,0.897996533393907,0.9273464399044,0.8076856751292,0.847479244465796,0.114411350922139,0.0948008540226876,0.467385217350359,0.453751965573742,0.668832800234822,0.945345274124798,0.897776882892286,0.617745089283313,0.639466489113123
"BC11A",1,0.99396207844036,0.514384538185589,0.773916786918197,0.987060769344073,0.892965424104149,0.999075208984906,0.86987666253253,0.556547220504251,0.343107048471103,0.66160405350715,0.00579246324561231,0.0128109395856269,0.175161608697799,0.001448444092784,0.304817586460582
"BCL6",1,0.98408019031874,0.881885165100991,0.945442400900936,0.733334735506848,0.93069102238181,0.223425777745468,0.916685821681485,0.900871341353914,0.287162919603715,0.242726975807227,0.452112535620237,0.39272734116828,0.72099670304674,0.220730005923946,0.759798768450312
"BHA15",1,0.98408019031874,0.957984213219975,0.941656274363736,0.733334735506848,0.972563991726983,0.939190155874111,0.475479121248412,0.770827872052552,0.945066208249229,0.992675772379568,0.826988010401596,0.931340191477214,0.825165328728046,0.908698855608726,0.452671785122644
"BHE40",1,0.956070415652464,0.892205009863106,0.944598748783359,0.764540810544098,0.965327030725155,0.864684247922374,0.40471507042252,0.793587481675396,0.820058701267193,0.622323365346666,0.775649920944856,0.976254219327517,0.283756349312513,0.973538774829145,0.635631174669063
"BMAL1",1,0.98408019031874,0.867483327456948,0.969341215106646,0.733334735506848,0.987559845285666,0.789494006994958,0.943654032713639,0.793587481675396,0.953236597748393,0.743821487104534,0.408786850669684,0.506470560409541,0.847309468352854,0.971290466192404,0.647556289849144
"BRAC",1,0.956070415652464,0.957984213219975,0.941656274363736,0.733334735506848,0.838618887217342,0.356410218581281,0.337563053214088,0.787836431551583,0.109718029886228,0.902861855209177,0.827686858262114,0.506470560409541,0.59557548125397,0.819044532027132,0.865222419823549
"CDX1",1,0.98901792301857,0.867539705419425,0.842626921352854,0.898174877589122,0.3862574302493,0.193426728629219,0.00447023704908681,0.793587481675396,0.737250439159189,0.294434347682413,0.159342841805977,0.787957756339085,0.538350289994845,0.368780022124672,0.327174479584795
"CDX2",1,0.956070415652464,0.994195381135483,0.941656274363736,0.993916578306901,0.634002977389188,0.451419966280274,0.575661600032396,0.340604367935855,0.372675472133715,0.971502793412902,0.963627887921179,0.447739039061068,0.603209259626526,0.788787486494853,0.445023632017086
"CEBPD",1,0.956070415652464,0.881885165100991,0.842626921352854,0.993916578306901,0.798621830522723,0.939190155874111,0.963242482192413,0.973569243199158,0.847619657083435,0.972601912213401,0.636528815781239,0.595361186867907,0.859598449244632,0.630011616139891,0.901353374816334
"CEBPE",1,0.975439793664328,0.837688334431869,0.941656274363736,0.993916578306901,0.841927914594997,0.997548684183703,0.943654032713639,0.627509378464328,0.563648425096119,0.51075774488164,0.827643528601,0.625649541904689,0.900561456920301,0.649966504720229,0.89021238793174
"CLOCK",1,0.956070415652464,0.984479619524662,0.7458146508446,0.993916578306901,0.944855728567535,0.386882841248501,0.451574136614864,0.14302722767657,0.794581095137647,0.800949608203635,0.668832800234822,0.850850535141029,0.575099048316699,0.973538774829145,0.865512908692044
"COE1",1,0.956070415652464,0.868719919334847,0.897996533393907,0.905012295053789,0.326486020489991,0.193426728629219,0.29440120593636,0.934432815606721,0.696676648340217,0.621863389774342,0.0304828090865766,0.192775497437851,0.0231964712289102,0.103528276909254,0.0227026117538838
"COT1",1,0.98408019031874,0.867483327456948,0.941656274363736,0.9273464399044,0.798621830522723,0.847479244465796,0.668989832005272,0.991105433929886,0.533919317633741,0.986226710497092,0.827686858262114,0.899264574153588,0.746920535570895,0.873899232841075,0.830469177451588
"COT2",1,0.956070415652464,0.995979668421687,0.897996533393907,0.733334735506848,0.855319942847926,0.902690097973256,0.00291105900283422,0.610812651650559,0.78567217006551,0.420040471705373,0.248542218417372,0.193556950900024,0.0887688760534486,0.220730005923946,0.169722987010263
"CREM",1,0.98408019031874,0.884322476883516,0.897996533393907,0.987060769344073,0.719786833661878,0.847479244465796,0.917812522622046,0.763217465567783,0.509042990523724,0.622323365346666,0.555386289335447,0.945345274124798,0.971365871723619,0.0203894753161991,0.639466489113123
"CRX",1,0.98901792301857,0.929970963205782,0.941951060904072,0.900594559510192,0.965327030725155,0.314461281812393,0.308666034928645,0.838468005859556,0.943971385601627,0.127741889467688,0.774818591403238,0.147132497372807,0.935878546282571,0.89094053487498,0.523344913146014
"CUX1",1,0.98408019031874,0.994195381135483,0.903665200020009,0.999395563012901,0.841927914594997,0.953650209724336,0.308666034928645,0.556547220504251,0.950043287575287,0.604217335390848,0.693267449295955,0.931340191477214,0.686582150778127,0.973538774829145,0.656087387172731
"DBP",1,0.424378616570961,0.957984213219975,0.787261761106476,0.664984227205943,0.539063237997371,0.939723592768477,0.641937712991887,0.798583384446714,0.96277522341437,0.420040471705373,0.30466226223924,0.379850976463476,0.492010949652494,0.616349148825136,0.577510161411821
"DLX3",1,0.98408019031874,0.867539705419425,0.897996533393907,0.764540810544098,0.117985073536766,0.371962827864487,0.13605342023513,0.0839421680918496,0.895678023339082,0.87410410167155,0.252927937579497,0.899264574153588,0.0513141151040968,0.88241855255025,0.522789460772749
"DUX4",1,0.98408019031874,0.867483327456948,0.941656274363736,0.733334735506848,0.798621830522723,0.939190155874111,0.943654032713639,0.793587481675396,0.980867966841765,0.473569210209223,0.480554285491716,0.9021315390315,0.940915642966465,0.594539943952826,0.950806827259109
"E2F2",1,0.98408019031874,0.929970963205782,0.90750254647019,0.993916578306901,0.798621830522723,0.864684247922374,0.48091777734349,0.507100585649029,0.895678023339082,0.902861855209177,0.963627887921179,0.866205051259599,0.503444737058864,0.973538774829145,0.865222419823549
"E2F3",1,0.98408019031874,0.995979668421687,0.969341215106646,0.993916578306901,0.798621830522723,0.847479244465796,0.943654032713639,0.814468807751616,0.657003454833364,0.995770616837039,0.5670645115614,0.850850535141029,0.538350289994845,0.625299487376113,0.512434662172983
"E2F5",1,0.98901792301857,0.944435480617529,0.794903548373919,0.898174877589122,0.939926973152521,0.996223615571721,0.943654032713639,0.415967933643912,0.737250439159189,0.783896223275347,0.903117978318378,0.758336505536684,0.887652321201802,0.973538774829145,0.654815631199807
"E2F6",1,0.98408019031874,0.837688334431869,0.941656274363736,0.733334735506848,0.798621830522723,0.463645736504552,0.575661600032396,0.656748403983317,0.958691750752932,0.971502793412902,0.459929597515677,0.787957756339085,0.579292321983199,0.411931878954723,0.865222419823549
"ELF5",1,0.98901792301857,0.881885165100991,0.897996533393907,0.733334735506848,0.939926973152521,0.533059350721005,0.781304199672187,0.967683090924262,0.995902025679291,0.876510415022447,0.778177415831281,0.625649541904689,0.935878546282571,0.975894278800649,0.753994489541626
"ERG",1,0.956070415652464,0.867483327456948,0.897996533393907,0.900594559510192,0.944855728567535,0.794542554537397,0.156781554926587,0.555860226554667,0.805497180737416,0.993798455332672,0.473351055476657,0.888544436620144,0.939527212790743,0.973538774829145,0.965642243483868
"ERR1",1,0.956070415652464,0.995979668421687,0.440140712360182,0.999395563012901,0.841927914594997,0.939190155874111,0.178720328229374,0.556547220504251,0.957495791557842,0.969345997179787,0.432601197363124,0.945345274124798,0.575099048316699,0.450207948319556,0.673439271822253
"ERR2",1,0.991961997819797,0.867483327456948,0.2021805372467,0.733334735506848,0.712969512021385,0.0105553263336393,0.077883828983366,0.770827872052552,0.00441530608615627,0.0860732212123132,0.0168756890969316,0.0398568425785543,0.114941480210644,0.142306034386068,0.577510161411821
"ERR3",1,0.477089737390839,0.74627517493716,0.787261761106476,0.733334735506848,0.855319942847926,0.939190155874111,0.634794786441772,0.0269380117839794,0.945066208249229,0.993716456079675,0.604604914231714,0.945345274124798,0.935878546282571,0.993642207719237,0.825510456334452
"ESR1",1,0.956070415652464,0.867483327456948,0.915668284852467,0.9273464399044,0.838618887217342,0.966033772653127,0.943654032713639,0.967683090924262,0.285698811130546,0.995770616837039,0.408786850669684,0.654210852565823,0.492010949652494,0.0554931159402044,0.657428548202786
"ESR2",1,0.956070415652464,0.995979668421687,0.98351757899717,0.993916578306901,0.80513298299067,0.689424783821704,0.691012132525277,0.793587481675396,0.319328612942423,0.738304311647858,0.774818591403238,0.872769415766066,0.903526685895267,0.541773396481807,0.746575289691254
"ETS1",1,0.968260409549098,0.881885165100991,0.941656274363736,0.999395563012901,0.798621830522723,0.823952326759032,0.943654032713639,0.991105433929886,0.285698811130546,0.783896223275347,0.893372962679273,0.19512539927403,0.288663658178496,0.567605218285004,0.512434662172983
"ETS2",1,0.98408019031874,0.867539705419425,0.555187157920139,0.862259088590325,0.892965424104149,0.847479244465796,0.634189470019497,0.770827872052552,0.188353936697909,0.205407819971602,0.774818591403238,0.421623522600552,0.226293957408573,0.348827822593311,0.809491150178949
"ETV2",1,0.98408019031874,0.30505417614673,0.964616641703616,0.733334735506848,0.944855728567535,0.996223615571721,0.940890269154463,0.660514438900603,0.737250439159189,0.972601912213401,0.775649920944856,0.292518541090306,0.939527212790743,0.521777091473502,0.458680634156952
"ETV4",1,0.98901792301857,0.514384538185589,0.561375663123543,0.999395563012901,0.934843265917838,0.33040115456164,0.667441899812379,0.550706433583816,0.461963836417108,0.110415313278281,0.572744529231901,0.595361186867907,0.307095908910417,0.483400988771578,0.112822687615452
"ETV5",1,0.945947455706511,0.995979668421687,0.993904876499752,0.862259088590325,0.94237934847022,0.996223615571721,0.943654032713639,0.763217465567783,0.945066208249229,0.767487969185339,0.5670645115614,0.35795008047244,0.324970185961856,0.368780022124672,0.661416779092883
"EVI1",1,0.956070415652464,0.975490501720337,0.978559009105646,0.733334735506848,0.802140078191557,0.809530902779442,0.943654032713639,0.627509378464328,0.87212797865343,0.499500020095195,0.774818591403238,0.268021460814261,0.447628118730995,0.973538774829145,0.865222419823549
"FEV",1,0.98901792301857,0.867539705419425,0.941656274363736,0.644743720251156,0.996464824233207,0.847479244465796,0.974086148675741,0.514546341486339,0.957495791557842,0.995770616837039,0.498312004398202,0.926948433307889,0.872898164401919,0.649966504720229,0.933903917730457
"FEZF1",1,0.985172009251701,0.514384538185589,0.951954171859407,0.989319707307363,0.798621830522723,0.386593193737074,0.308666034928645,0.17823828258341,0.945066208249229,0.386745990277748,0.00622265583816437,0.183282618766187,0.00713522988250604,0.191594844049502,0.0641267742516713
"FLI1",1,0.98408019031874,0.867483327456948,0.944598748783359,0.747244863282041,0.0141038847890021,0.823952326759032,0.688852268412938,0.783899195393508,0.105156326618852,0.404974899998996,0.944497368331228,0.853560715608266,0.952785748994046,0.62138252847644,0.673439271822253
"FOXC1",1,0.956070415652464,0.995979668421687,0.787261761106476,0.733334735506848,0.798621830522723,0.939190155874111,0.944379314306541,0.00933740360613581,0.957495791557842,0.995770616837039,0.963627887921179,0.866205051259599,0.603209259626526,0.56452771144956,0.639466489113123
"FOXH1",1,0.956070415652464,0.975490501720337,0.98351757899717,0.733334735506848,0.837033556510161,0.723812856913054,0.86987666253253,0.428250726548766,0.835778119556565,0.640291599072683,0.775649920944856,0.518767794939088,0.971365871723619,0.521777091473502,0.993999529508541
"FOXI1",1,0.98408019031874,0.914940762409172,0.773916786918197,0.993916578306901,0.798621830522723,0.782513237884349,0.0869504389928122,0.550706433583816,0.855493428492284,0.896229938683953,0.774818591403238,0.418755380242315,0.916418908009469,0.973538774829145,0.577510161411821
"FOXJ2",1,0.956070415652464,0.867483327456948,0.367911405274924,0.706156457066005,0.892965424104149,0.492216311608825,0.539505621777717,0.919474456820971,0.794581095137647,0.969345997179787,0.668832800234822,0.119009800247203,0.0916071059385702,0.113083695543467,0.265920499016575
"FOXJ3",1,0.956070415652464,0.867539705419425,0.897996533393907,0.733334735506848,0.944855728567535,0.455343253799435,0.821101403589145,0.919724509259245,0.747248464374475,0.972601912213401,0.896423745764175,0.192775497437851,0.246931539330489,0.934178920257819,0.214304578003538
"FOXK1",1,0.956070415652464,0.929970963205782,0.842626921352854,0.862259088590325,0.539063237997371,0.809530902779442,0.659500116544707,0.770827872052552,0.809616630651697,0.841003592608413,0.756551467274209,0.506470560409541,0.496915547534102,0.554901656720707,0.98057686705585
"FOXO1",1,0.620490605412984,0.995979668421687,0.941656274363736,0.948455815111829,0.8076856751292,0.921970537494326,0.665067051912309,0.340604367935855,0.957495791557842,0.682760068173492,0.589088085779387,0.899264574153588,0.859598449244632,0.92783817843514,0.865222419823549
"FOXO4",1,0.98408019031874,0.995979668421687,0.700142056940799,0.993916578306901,0.238700665869259,0.139314969153548,0.917812522622046,0.340604367935855,0.957495791557842,0.719885767073661,0.77513721580665,0.637399596241034,0.771380304272446,0.859960799722937,0.788894880920092
"FOXP1",1,0.956070415652464,0.929970963205782,0.979940193718696,0.993916578306901,0.934199636110939,0.789809085188013,0.340565650556361,0.967683090924262,0.5332664042448,0.494920583905093,0.766034103720368,0.928017024943214,0.964128636161336,0.702579951204428,0.474282144292222
"FOXQ1",1,0.98408019031874,0.867539705419425,0.941656274363736,0.758003712990534,0.994692199861803,0.761886836613704,0.0879850480364113,0.553838525461354,0.819733802584539,0.852011361110213,0.555386289335447,0.945345274124798,0.99861057391436,0.300629321577112,0.865222419823549
"GATA3",1,0.98408019031874,0.514384538185589,0.739071490693691,0.828084800539069,0.858736109740323,0.723812856913054,0.943654032713639,0.784787735659326,0.945066208249229,0.719885767073661,0.78881055037649,0.39272734116828,0.939527212790743,0.766056081212785,0.891875731331042
"NR3C1",1,0.956070415652464,0.881885165100991,0.842626921352854,0.993916578306901,0.787545050258206,0.955166560342708,0.963242482192413,0.979379813202622,0.957495791557842,0.961503524399844,0.774818591403238,0.885964199031374,0.952785748994046,0.441274711638992,0.351797205115561
"GFI1B",1,0.98901792301857,0.867539705419425,0.993904876499752,0.908435381369492,0.712969512021385,0.533059350721005,0.965249126238725,0.991105433929886,0.945066208249229,0.420040471705373,0.5670645115614,0.145177841821861,0.285704871946673,0.566815129102374,0.665197389775481
"GFI1",1,0.98408019031874,0.995979668421687,0.969341215106646,0.900594559510192,0.939926973152521,0.866094078086524,0.787168352587203,0.748836945375088,0.850521980586148,0.812618489350783,0.613014676050466,0.850850535141029,0.900561456920301,0.30286977864916,0.169722987010263
"GLI3",1,0.956070415652464,0.995979668421687,0.969341215106646,0.733334735506848,0.869271272042607,0.864684247922374,0.943654032713639,0.627509378464328,0.945066208249229,0.645471644400739,0.756551467274209,0.850850535141029,0.897776882892286,0.567098251623006,0.98057686705585
"GRHL2",1,0.956070415652464,0.514384538185589,0.897996533393907,0.999395563012901,0.838618887217342,0.999075208984906,0.713396625201855,0.000137034009188803,1.34168217773318e-15,4.99525001122464e-23,6.67020409764526e-37,4.84508871817083e-34,2.75260046359047e-34,1.02012586627105e-32,7.50258012154441e-40
"HEN1",1,0.956070415652464,0.881885165100991,0.944598748783359,0.758003712990534,0.855319942847926,0.823989128971683,0.614749322855423,0.764317894934098,0.75107617301673,0.622323365346666,0.774818591403238,0.506470560409541,0.959913162238006,0.937821993657365,0.698658731379521
"HIC1",1,0.98901792301857,0.995979668421687,0.842626921352854,0.733334735506848,0.510686473978081,0.402079762891054,0.412972644596959,0.168005738552557,0.945066208249229,0.420040471705373,0.164831181903581,0.0398568425785543,0.385445621766176,0.148057767200089,0.0483031196210156
"HIF1A",1,0.956070415652464,0.975490501720337,0.969341215106646,0.999395563012901,0.620675092550653,0.997548684183703,0.849873040895543,0.793587481675396,0.971920915613187,0.983037411826462,0.952937322219401,0.362360523776614,0.935878546282571,0.533461745175273,0.865222419823549
"HINFP",1,0.98901792301857,0.994195381135483,0.98351757899717,0.664984227205943,0.93069102238181,0.999075208984906,0.821101403589145,0.889320825356995,0.657003454833364,0.686143257784258,0.707750108334337,0.945345274124798,0.596622882722601,0.973538774829145,0.730086068778588
"HLF",1,0.956070415652464,0.994195381135483,0.941951060904072,0.664984227205943,0.798621830522723,0.999075208984906,0.965249126238725,0.233202723289995,0.957495791557842,0.925370926814813,0.592562828687765,0.504114556327313,0.833377277876312,0.788787486494853,0.872473102702265
"HNF6",1,0.968030834735532,0.874384780497033,0.941656274363736,0.764540810544098,0.869271272042607,0.997548684183703,0.0613797435321147,0.991105433929886,0.737250439159189,0.716920905624798,0.193910421933829,0.00767948321677853,0.0826408734390249,0.0593415468584071,0.0267705487553405
"HSF1",1,0.620490605412984,0.837688334431869,0.969341215106646,0.999395563012901,0.8076856751292,0.996223615571721,0.668989832005272,0.0939233753193191,0.533919317633741,0.560238861360188,0.581243624630572,0.253509024375284,0.907213212278091,0.475111050157573,0.135751304878674
"HSF2",1,0.921365829174799,0.867483327456948,0.941656274363736,0.993916578306901,0.544474505413746,0.203016789871394,0.911816575539761,0.793587481675396,0.945066208249229,0.969345997179787,0.630871488465967,0.996512877795686,0.221463221891248,0.973538774829145,0.767277808299228
"HTF4",1,0.831343693184327,0.975490501720337,0.561375663123543,0.968804954958161,0.798621830522723,0.939190155874111,0.976408965593252,0.857036502852825,0.957495791557842,0.682760068173492,0.775649920944856,0.504114556327313,0.940915642966465,0.973538774829145,0.865222419823549
"HXA10",1,0.956070415652464,0.867483327456948,0.299281049389905,0.733334735506848,0.798621830522723,0.870093453346703,0.890500403728164,0.150231239133301,0.847619657083435,0.812618489350783,0.944497368331228,0.192775497437851,0.859598449244632,0.474731641494684,0.635631174669063
"HXA13",1,0.985172009251701,0.995979668421687,0.876489585264397,0.733334735506848,0.841752953707863,0.997548684183703,0.927374714835903,0.784787735659326,0.15965274316906,0.369471992793775,0.480554285491716,0.319694855854225,0.171168670665082,0.189922854641365,0.123270549510689
"HXA1",1,0.968030834735532,0.995979668421687,0.561375663123543,0.733334735506848,0.901143796410691,0.997548684183703,0.943654032713639,0.559163862738566,0.945066208249229,0.910209503696973,0.925032734430443,0.52291637988113,0.774611346275965,0.486940332006091,0.698658731379521
"HXA9",1,0.98408019031874,0.975490501720337,0.842626921352854,0.862259088590325,0.798621830522723,0.939190155874111,0.787168352587203,0.523689980978943,0.469203300763369,0.896229938683953,0.0453885077762109,0.116039980428348,0.503444737058864,0.335622732307138,0.327174479584795
"HXB13",1,0.956070415652464,0.907706058762867,0.941656274363736,0.733334735506848,0.940909263277609,0.0803219000924493,0.412972644596959,0.28198654269887,0.799091219913351,0.971502793412902,0.756551467274209,0.926948433307889,0.538350289994845,0.185773173521307,0.388897654289165
"HXB4",1,0.956070415652464,0.837688334431869,0.493438232397967,0.993916578306901,0.86471227791892,0.996223615571721,0.634189470019497,0.770827872052552,0.737250439159189,0.993716456079675,0.69252932756181,0.319694855854225,0.829690948208277,0.973538774829145,0.788894880920092
"HXC9",1,0.991961997819797,0.975490501720337,0.897996533393907,0.99813707545572,0.841927914594997,0.193426728629219,0.0579936908423131,0.550706433583816,0.446280345754366,0.213079296534461,0.0170730508375276,0.0998970364092609,0.237211266918941,0.126665000421269,0.0544215136310843
"IKZF1",1,0.956070415652464,0.995979668421687,0.903665200020009,0.993916578306901,0.919096356552713,0.823952326759032,0.943654032713639,0.314690812859936,0.414689498188636,0.294434347682413,0.0194465978260666,0.183282618766187,0.0916071059385702,0.0341124781885234,0.0620589984021441
"INSM1",1,0.98408019031874,0.881885165100991,0.951954171859407,0.999395563012901,0.512697119391914,0.997548684183703,0.90376780098463,0.684898848885411,0.945066208249229,0.995770616837039,0.774818591403238,0.79953003152277,0.503444737058864,0.348827822593311,0.655201666822069
"IRF3",1,0.956070415652464,0.995979668421687,0.941656274363736,0.99813707545572,0.719786833661878,0.847479244465796,0.943654032713639,0.991105433929886,0.994100451076498,0.701465666855117,0.30466226223924,0.0771811877590898,0.158063104132315,0.17873521209804,0.0705074807135815
"IRF7",1,0.956070415652464,0.884322476883516,0.418769534748933,0.733334735506848,0.712969512021385,0.733940503893952,0.575661600032396,0.660514438900603,0.260730920369308,0.971502793412902,0.774818591403238,0.665002203697059,0.114941480210644,0.641503923244463,0.991312969637137
"IRF9",1,0.956070415652464,0.867539705419425,0.842626921352854,0.733334735506848,0.994692199861803,0.823952326759032,0.943654032713639,0.314690812859936,0.971920915613187,0.682760068173492,0.630871488465967,0.0955598502808885,0.0831597723271633,0.220730005923946,0.195331073529949
"ISL1",1,0.620490605412984,0.975490501720337,0.367911405274924,0.733334735506848,0.841927914594997,0.902535451160598,0.428845391825568,0.350359627197867,0.994100451076498,0.682760068173492,0.788343462285032,0.885101840957994,0.8554683686018,0.89094053487498,0.474282144292222
"KAISO",1,0.956070415652464,0.867483327456948,0.903665200020009,0.733334735506848,0.798621830522723,0.847479244465796,0.874690337239878,0.919724509259245,0.807237033526619,0.865723858824038,0.775649920944856,0.674562549778859,0.820303134829809,0.890112904632682,0.474282144292222
"KLF8",1,0.620490605412984,0.995979668421687,0.90750254647019,0.993916578306901,0.8076856751292,0.996223615571721,0.762949331115074,0.650942142717249,0.696676648340217,0.995770616837039,0.851946046965407,0.660884042656556,0.903526685895267,0.908698855608726,0.673439271822253
"LEF1",1,0.98408019031874,0.514384538185589,0.2021805372467,0.993916578306901,0.864054674262902,0.984803457504112,0.821101403589145,0.556547220504251,0.799091219913351,0.489521697720393,0.790040483918797,0.265155738380666,0.598181273082961,0.34977592847069,0.142257442222583
"LHX2",1,0.956070415652464,0.870232058749515,0.842626921352854,0.999395563012901,0.933616295406906,0.202035623253976,0.787168352587203,0.0169105863630151,0.260387130530126,0.088752556988374,0.774818591403238,0.370042062417259,0.399334284444485,0.332370383740828,0.918649113774116
"LHX3",1,0.424378616570961,0.867539705419425,0.7458146508446,0.898174877589122,0.796084627757028,0.947592039251596,0.576396822059904,0.861056027415715,0.980867966841765,0.841003592608413,0.925032734430443,0.85594685287256,0.560145013176572,0.30286977864916,0.835184235741696
"LYL1",1,0.98408019031874,0.957984213219975,0.555187157920139,0.989161399373251,0.972563991726983,0.997548684183703,0.943654032713639,0.550706433583816,0.906312427624296,0.896229938683953,0.636528815781239,0.317419817858357,0.379912750984288,0.33895888557511,0.0711337852274303
"MAFB",1,0.98408019031874,0.961701197078278,0.794575276401478,0.733334735506848,0.855900999660047,0.902690097973256,0.974086148675741,0.634354108678564,0.971920915613187,0.896229938683953,0.774818591403238,0.390462550090717,0.725699515951722,0.975894278800649,0.899193748546476
"MAFF",1,0.98408019031874,0.994195381135483,0.367911405274924,0.664984227205943,0.994692199861803,0.689424783821704,0.246371588235679,0.78681177835622,0.469203300763369,0.743435149039572,0.953138637742903,0.945345274124798,0.952785748994046,0.625299487376113,0.877833414723065
