"","PT_seg01","PT_seg02","PT_seg03","PT_seg04","PT_seg05","PT_seg06","PT_seg07","PT_seg08","PT_seg09","PT_seg10","PT_seg11","PT_seg12","PT_seg13","PT_seg14","PT_seg15","PT_seg16"
"AHR",0,0.0352888218160459,0.0164896590675082,-0.0106044464763809,-0.0322071758301074,-0.0409864209029157,-0.0212412170554702,-0.00669121959635234,-0.00834669339409696,0.0122501391584312,-0.0387069249518596,-0.0572334342532645,0.0188205252014371,-0.0159631062104708,0.0176667768712045,0.0386122933983032
"AIRE",0,-0.0395577634537633,-0.0164127161571377,-0.0177058087755163,-0.00606435936383952,0.000588818024793157,0.0143506828730864,0.0141291458780953,0.0471045682749581,0.0199151194926428,0.0143341030482967,0.00866967647450269,0.0218830584672099,0.0480429091614383,0.024514767586713,0.0371810500386983
"ALX1",0,-0.0260543988587879,-0.000153838447947694,0.0232137823712042,-0.0222686503133625,-0.0167816243434656,0.00578749637625812,0.017679136778661,-0.020878520618243,0.02588148675224,0.0270431856837438,0.0174729511670146,-0.00448057484267227,-0.00706558450283367,0.0304754517620787,0.0130740050471441
"AR",0,0.00552202858495632,0.00256897855519278,0.00127039626632792,0.0169956102389219,0.0130823958194818,0.00829144670015541,0.0108776375845147,0.0141260050106983,0.00907144505890647,0.0278721968256096,0.039593228614412,0.0204512235997748,0.0364971675747815,0.0253008674090123,0.0191450708422893
"TFAP2B",0,-0.00785391735539382,0.00315613618127301,-0.00283071981759845,-0.0322410184778436,0.00581183962835325,0.0124178147482056,-0.00131955254272687,0.00517797006905381,0.0167850074538939,-0.00105826599743689,0.0149034811169443,0.0240717608583389,-0.00681412712115749,0.0270775263459815,0.0162549112516793
"ARI5B",0,-0.0135098970130239,0.0126512513753813,-0.00563042899095809,-0.0192031929747669,-0.0310938644358159,0.016196765613654,0.0192186781105016,0.00909460306855791,0.0402250199103653,0.0276137083843998,-0.0132811175561525,0.0032993986407823,0.00594323013730912,-0.0481717568627434,0.0304220400836574
"ASCL1",0,0.0282190629732906,-0.0188581141463738,0.0283001203848741,0.0143809450914796,-0.0195135384817253,0.00404967331685837,0.0117242850587938,0.0117476613948029,0.0202268610887397,-0.00374649070753897,0.00990901714450122,0.00360338992541502,0.0215563009872665,0.02480792332179,0.014759287919258
"ATF2",0,0.00594062247052306,-0.0123585779174469,0.00465319249764585,0.0245704340044928,-0.00758212730210083,-0.0862262246824017,-0.0171207271839376,-0.0345806481347962,0.0196831445972976,-0.0267841900463486,0.02980934004614,0.0226892732702648,0.0262838488443106,-0.00141012884412199,0.063449914042597
"ATF3",0,-0.048075214847113,-0.0537182108959674,-0.0217417145093232,0.00186318684962001,-0.0898487098894115,-0.0120210306988833,0.0396659611962765,-0.0212406538697909,0.0370286927577714,0.00517658177956908,0.0169772978896881,0.0101002933931921,0.00528368195772891,-0.0786932802768446,0.015688858918879
"ATF6A",0,0.0186056256052323,0.00562505627512553,-0.0108422873340557,-0.0165931999767044,0.0284295704306075,-0.018472313286938,0.0455625610110588,-0.00984665564842314,-0.0200602184933544,0.0271935030543111,0.0683827740728173,0.0722270548895433,0.0584516234716953,0.056700881926703,0.0606873342691687
"BACH1",0,-0.0134451471749142,0.0348930941741802,0.00882425834544175,-0.0126561022799369,0.0147625124168269,0.0375029772526937,0.00858058527759683,-0.0313847317116037,0.0113191195284989,0.0244071131126371,0.0286914209802339,0.0358648137188379,0.00326024364145915,0.0111123649134714,-0.00978258952338395
"BATF3",0,-0.026971856369648,0.0160953294379152,0.0184006180192653,-0.0200614061625519,0.00522809298233023,-0.00379770674044689,0.0120648795647121,-0.00827688884104547,0.00148132299148178,0.0206749493681539,-0.00112457732912443,-0.023918607517196,-0.0176226551352081,-0.00798401167511635,-0.0171294562050691
"BATF",0,-0.0230570696947817,-0.0273839954051147,-0.0173420873939184,0.0114881706956222,-0.0180196644354114,-0.014301281127913,-0.0508779256979095,-0.0493424974630983,-0.0304138977818355,-0.032198753455829,0.0227008450818288,-0.00362473240587662,-0.00870837621057922,-0.0198906225059172,0.0187715119653185
