"","PT_seg01","PT_seg02","PT_seg03","PT_seg04","PT_seg05","PT_seg06","PT_seg07","PT_seg08","PT_seg09","PT_seg10","PT_seg11","PT_seg12","PT_seg13","PT_seg14","PT_seg15","PT_seg16"
"AHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIRE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALX1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR",0,0,0,0,0,0,0,0,0,0,0,0.039593228614412,0,0.0364971675747815,0,0
"TFAP2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARI5B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASCL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATF2",0,0,0,0,0,0,-0.0862262246824017,0,0,0,0,0,0,0,0,0.063449914042597
"ATF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATF6A",0,0,0,0,0,0,0,0,0,0,0,0,0.0722270548895433,0,0,0
"BACH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATF",0,0,0,0,0,0,0,0,-0.0493424974630983,0,0,0,0,0,0,0
"BC11A",0,0,0,0,0,0,0,0,0,0,0,-0.0596514557758656,-0.0530523680173442,0,-0.0591874358253889,0
"BCL6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHA15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHE40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMAL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDX1",0,0,0,0,0,0,0,0.0778199648253418,0,0,0,0,0,0,0,0
"CDX2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEBPD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEBPE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLOCK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COE1",0,0,0,0,0,0,0,0,0,0,0,-0.052011600743576,0,-0.0512320695445857,0,-0.046844513006032
"COT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COT2",0,0,0,0,0,0,0,-0.0670683923404562,0,0,0,0,0,-0.049321938235035,0,0
"CREM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0982347480263004,0
"CRX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUX1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DLX3",0,0,0,0,0,0,0,0,0.0660935933553515,0,0,0,0,0.0827813786344432,0,0
"DUX4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E2F2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E2F3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E2F5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E2F6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ELF5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2",0,0,0,0,0,0,-0.10082301615303,-0.0735590721305534,0,-0.0993268018299447,-0.0750022702197747,-0.101464490680518,-0.0871868010874382,0,0,0
"ERR3",0,0,0,0,0,0,0,0,-0.0809723824725095,0,0,0,0,0,0,0
"ESR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0686582620532581,0
"ESR2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETV2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETV4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETV5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EVI1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FEZF1",0,0,0,0,0,0,0,0,0,0,0,-0.05911572206371,0,-0.0555456249601282,0,-0.0387093474679289
"FLI1",0,0,0,0,0,0.0531690552350787,0,0,0,0,0,0,0,0,0,0
"FOXC1",0,0,0,0,0,0,0,0,0.0611961426650356,0,0,0,0,0,0,0
"FOXH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOXI1",0,0,0,0,0,0,0,-0.0641088514521183,0,0,0,0,0,0,0,0
"FOXJ2",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412495111003067,0,0
"FOXJ3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOXK1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOXO1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOXO4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOXP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOXQ1",0,0,0,0,0,0,0,0.0455284138097463,0,0,0,0,0,0,0,0
"GATA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NR3C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GFI1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GFI1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GLI3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRHL2",0,0,0,0,0,0,0,0,0.106002215921901,0.198910060902463,0.257649187324856,0.367963089776658,0.342310585682893,0.332560358650956,0.310753608224342,0.327511715437105
"HEN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HIC1",0,0,0,0,0,0,0,0,0,0,0,0,0.0707596578663371,0,0,0.0623628645833433
"HIF1A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HINFP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HLF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HNF6",0,0,0,0,0,0,0,0.0730575727923479,0,0,0,0,0.101600199249484,0.0734743241127824,0.0726670824028667,0.0787530130629944
"HSF1",0,0,0,0,0,0,0,0,-0.0523612544260518,0,0,0,0,0,0,0
"HSF2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTF4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HXA10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HXA13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HXA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HXA9",0,0,0,0,0,0,0,0,0,0,0,0.0825522600541634,0,0,0,0
"HXB13",0,0,0,0,0,0,0.0636523102262872,0,0,0,0,0,0,0,0,0
"HXB4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HXC9",0,0,0,0,0,0,0,0.0675272683349129,0,0,0,0.0876246628253597,0.0653139458913903,0,0,0.0649392324996323
"IKZF1",0,0,0,0,0,0,0,0,0,0,0,-0.052024674550529,0,-0.0391863091781441,-0.0438273952128693,-0.0384104864848302
"INSM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRF3",0,0,0,0,0,0,0,0,0,0,0,0,-0.0378214429919314,0,0,-0.0338669881347198
"IRF7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRF9",0,0,0,0,0,0,0,0,0,0,0,0,0.0504088083424657,0.0508485847412822,0,0
"ISL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAISO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LEF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LHX2",0,0,0,0,0,0,0,0,0.0731113050725106,0,0.0641049940631479,0,0,0,0,0
"LHX3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LYL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0361849464210335
"MAFB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
