"TF","trend","maxAbsCoef","nSigSeg"
"ZEB1",0.96,0.242,11
"TFGroup_1",0.94,0.105,8
"SNAI2",0.93,0.134,8
"TFGroup_18",0.89,0.194,10
"TFGroup_15",0.88,0.067,8
"TFGroup_20",0.88,0.188,11
"GRHL2",0.86,0.368,8
"TFGroup_14",0.86,0.266,6
"AIRE",0.84,0.048,0
"AR",0.83,0.04,2
"HXA13",0.83,0.055,0
"RXRG",0.82,0.054,0
"SNAI1",0.81,0.094,9
"TFGroup_35",0.8,0.095,9
"HIC1",0.79,0.071,2
"P63",0.79,0.078,2
"ZFX",0.78,0.064,4
"ZN329",0.78,0.051,2
"HXC9",0.76,0.088,4
"NR4A2",0.76,0.068,1
"RARG",0.76,0.087,5
"RXRB",0.76,0.086,4
"TFGroup_40",0.76,0.071,2
"ZSC31",0.75,0.039,1
"NR2C2",0.74,0.047,0
"RORG",0.74,0.049,0
"ZN549",0.73,0.07,3
"HXA10",0.72,0.057,0
"HXA9",0.72,0.083,1
"ZN768",0.71,0.027,0
"HNF6",0.7,0.102,5
"TFGroup_11",0.69,0.07,5
"MECP2",0.68,0.029,0
"TBX21",0.68,0.036,0
"OVOL1",0.67,0.08,1
"TFGroup_24",0.67,0.043,0
"TFGroup_33",0.67,0.037,1
"NF2L1",0.66,0.055,0
"VDR",0.66,0.039,0
"TFGroup_22",0.66,0.039,1
"PAX6",0.65,0.069,1
"TFGroup_2",0.65,0.066,0
"FOXK1",0.64,0.03,0
"IRF9",0.64,0.051,2
"TBP",0.63,0.053,0
"RFX5",0.62,0.145,11
"TFGroup_13",0.62,0.045,0
"TFGroup_16",0.62,0.058,1
"ATF6A",0.61,0.072,1
"HXB13",0.61,0.064,1
"MTF1",0.61,0.063,0
"NR1H4",0.61,0.053,1
"FOXJ3",0.6,0.032,0
"ETV4",0.59,0.043,0
"PAX5",0.59,0.046,1
"BCL6",0.58,0.04,0
"TFAP2B",0.57,0.032,0
"TFGroup_7",0.56,0.108,1
"REST",0.55,0.051,1
"SOX10",0.53,0.047,0
"SOX3",0.53,0.042,0
"NR4A1",0.52,0.05,0
"ZN121",0.52,0.04,0
"ZNF8",0.52,0.059,0
"E2F3",0.5,0.024,0
"ETS1",0.5,0.046,0
"TFGroup_17",0.49,0.029,0
"DBP",0.47,0.065,0
"RORA",0.47,0.061,2
"THRA",0.47,0.056,2
"TFGroup_30",0.47,0.037,0
"CDX1",0.46,0.078,1
"ETV5",0.46,0.028,0
"SRBP2",0.46,0.024,0
"ZN260",0.46,0.047,0
"NFAC3",0.45,0.039,0
"ZN708",0.45,0.03,0
"SOX5",0.44,0.069,1
"SRBP1",0.44,0.059,1
"ZN331",0.44,0.043,0
"ATF3",0.43,0.09,0
"SOX17",0.42,0.023,0
"ZIC3",0.42,0.043,3
"ZN680",0.42,0.028,0
"CRX",0.41,0.068,0
"DLX3",0.41,0.083,2
"ZN384",0.4,0.03,0
"ALX1",0.39,0.03,0
"FOXJ2",0.38,0.041,1
"THRB",0.38,0.043,0
"ZN140",0.38,0.038,0
"CDX2",0.36,0.037,0
"SOX9",0.36,0.065,1
"TFGroup_12",0.36,0.044,0
"CREM",0.35,0.098,1
"ESR2",0.35,0.043,0
"LHX2",0.35,0.073,2
"ZN382",0.35,0.057,1
"ATF2",0.34,0.086,2
"ZN274",0.34,0.034,0
"FOXQ1",0.33,0.046,1
"TFGroup_21",0.33,0.036,0
"ZN136",0.32,0.047,0
"ERG",0.31,0.044,0
"ETV2",0.31,0.051,0
"PGR",0.31,0.043,0
"TFGroup_41",0.31,0.036,0
"SRY",0.3,0.035,0
"ZN320",0.3,0.038,1
"P53",0.29,0.067,0
"BRAC",0.28,0.049,0
"TFGroup_19",0.27,0.04,1
"PDX1",0.26,0.057,0
"RUNX2",0.26,0.027,0
"TFGroup_28",0.26,0.024,0
"TFGroup_37",0.26,0.033,0
"E2F2",0.25,0.048,0
"TFGroup_9",0.25,0.045,1
"ARI5B",0.24,0.048,0
"FEV",0.23,0.041,0
"NKX31",0.23,0.054,0
"CEBPD",0.22,0.039,0
"IRF7",0.22,0.043,0
"PEBB",0.21,0.044,0
"REL",0.21,0.028,0
"NR3C1",0.2,0.036,0
"ASCL1",0.18,0.028,0
"PO3F2",0.18,0.055,2
"PRDM1",0.18,0.036,0
"BHA15",0.17,0.027,0
"E2F5",0.17,0.06,0
"BATF",0.16,0.051,1
"CEBPE",0.16,0.046,0
"ZIC1",0.16,0.036,0
"ZN816",0.16,0.026,0
"TFGroup_6",0.16,0.047,0
"BACH1",0.15,0.038,0
"Z324A",0.15,0.022,0
"HIF1A",0.14,0.085,0
"MYCN",0.14,0.032,0
"PRRX2",0.14,0.047,0
"ZNF18",0.14,0.044,0
"TFGroup_23",0.14,0.027,0
"FOXC1",0.13,0.061,1
"HXA1",0.13,0.041,0
"NKX32",0.13,0.04,0
"Z354A",0.13,0.027,0
"CLOCK",0.12,0.047,0
"PRDM6",0.12,0.023,0
