"","Differentiated-2","Differentiated_1","Intermediate-3","Intermediate-2","Intermediate-1","Neuroendocrine"
"AHR",0.237762696007851,0.920176959567026,0.820760557494089,0.932414163801098,0.981993467514118,0.866835857924881
"AIRE",0.814336602809107,0.752007432781063,0.505458416869066,0.273387543182178,0.989586917851516,0.903835310770707
"ALX1",0.979729778017216,0.884549744661247,0.820760557494089,0.865514478048921,0.981993467514118,0.417666037942382
"AR",0.965055799212773,0.0738557562747217,0.820760557494089,0.589854999490798,0.504115343401192,0.103706154498584
"TFAP2B",0.699219399499144,0.884447434754687,0.951906014583436,0.994593847713394,0.687874800252102,0.61640268992774
"ARI5B",0.798814544499622,0.866830566571545,0.720420860392265,0.877265589336246,0.996014604837086,0.996346243376897
"ASCL1",0.814141157708851,0.843500557550622,0.52974301695468,0.906999746694324,0.962343485343155,0.742048440737284
"ATF2",0.484606671145964,0.843500557550622,0.289586222802141,0.952807321106304,0.989586917851516,0.304846056458076
"ATF3",0.861765524676636,0.866830566571545,0.986015594976107,0.792900010663144,0.972829096152265,0.978005847047283
"ATF6A",0.703703733829609,0.378270980142258,0.905845460891779,0.900664708662386,0.972829096152265,0.800539482534995
"BACH1",0.880069868184203,0.908584340950042,0.900608640463944,0.820510978920209,0.660590172286717,0.75262132960305
"BATF3",0.678245346833091,0.884447434754687,0.678110763895583,0.735230000782425,0.972829096152265,0.981128148015173
"BATF",0.0871495921403093,0.150794279908738,0.881826623703991,0.792900010663144,0.962343485343155,0.701551248253593
"BC11A",0.814141157708851,0.863023509206128,0.998430966023778,0.792900010663144,0.88129658731077,0.970096981306065
"BCL6",0.861765524676636,0.949300889910013,0.884196716570155,0.792900010663144,0.962343485343155,0.709382052640459
"BHA15",0.516224215087379,0.192366923459719,0.900608640463944,0.834743521807765,0.937194759267364,0.701551248253593
"BHE40",0.667549500479476,0.858230890766393,0.83527500001508,0.792900010663144,0.937194759267364,0.624905187883198
"BMAL1",0.89123808191892,0.907669621005413,0.912109102257014,0.890388889579551,0.962343485343155,0.843236240500719
"BRAC",0.424430741968127,0.885754795065765,0.947525620873994,0.734397489685642,0.993851349496126,0.996346243376897
"CDX1",0.970632165466396,0.662117684039966,0.649786365472428,0.44379797095023,0.981993467514118,0.330611884742549
"CDX2",0.848212372354351,0.695147953023649,0.505458416869066,0.996664522291263,0.962343485343155,0.247480123004623
"CEBPD",0.808604104669129,0.940345231070308,0.715825435610391,0.792900010663144,0.924534408824313,0.791353538046832
"CEBPE",0.678245346833091,0.378270980142258,0.900608640463944,0.904521992472297,0.689355368276319,0.978005847047283
"CLOCK",0.678245346833091,0.907669621005413,0.820760557494089,0.994593847713394,0.999339647315257,0.566045330112836
"COE1",0.00945911336113626,0.291688538931599,0.847014153342549,0.060362321140314,0.0468069450333623,0.28995175040771
"COT1",0.913542286193169,0.893123907673683,0.847014153342549,0.84353141383542,0.689355368276319,0.659377327403217
"COT2",0.678245346833091,0.866830566571545,0.849417338421331,0.801493318954593,0.88129658731077,0.978085887763244
"CREM",0.917825606379356,0.843500557550622,0.84847969601883,0.735230000782425,0.967454126157994,0.997514040675207
"CRX",0.814141157708851,0.965281265412153,0.820760557494089,0.318560966456449,0.981993467514118,0.566045330112836
"CUX1",0.496754232000734,0.858230890766393,0.514132882090166,0.939091927519184,0.924534408824313,0.866835857924881
"DBP",0.153959087115608,0.0820977502152492,0.900608640463944,0.589854999490798,0.960817955240705,0.866835857924881
"DLX3",0.331214063358414,0.866830566571545,0.84847969601883,0.927025816223394,0.145985160392249,0.701551248253593
"DUX4",0.885856961284264,0.671179217080863,0.620843618919981,0.792900010663144,0.979852689184186,0.659377327403217
"E2F2",0.814141157708851,0.980459908426806,0.820760557494089,0.780069407902388,0.962343485343155,0.911515229951379
"E2F3",0.491858734670734,0.994683236679699,0.822573008196508,0.665846651837455,0.937194759267364,0.883051854024173
"E2F5",0.542631938573065,0.908584340950042,0.900608640463944,0.927025816223394,0.787999018476042,0.742048440737284
