"","Differentiated-2","Differentiated_1","Intermediate-3","Intermediate-2","Intermediate-1","Neuroendocrine"
"AHR",0.110971468734749,0.019440192087671,-0.0462385369981155,0.015063030185254,0.00471802379397132,0.034732419159763
"AIRE",-0.0152611565504257,0.0291185985327584,-0.0514674360371832,0.0607239040062678,-0.00169114110043114,-0.0143209747338292
"ALX1",-0.00101402236197721,-0.0141441928190887,-0.0251127512324364,-0.0166606998405237,-0.00277414886468677,-0.0486049445774588
"AR",-0.0019549238390334,0.0472477429444442,0.0146403374097808,0.0274269907603641,0.0295013599287556,-0.0470153502672896
"TFAP2B",0.0172600373397224,0.0112875509852073,-0.00298146956032572,-0.000868482971654698,0.0281000340506628,-0.0323624306182975
"ARI5B",0.021098725564339,-0.0195933244881502,-0.0381118664687154,0.0191943949627227,-0.000721498674510002,-0.00141874746683393
"ASCL1",0.0134998560471675,0.0220357258336692,-0.0363202183599663,0.0092894787592485,0.0108228931728738,-0.024267244858398
"ATF2",0.0401012889436334,0.02578062521325,-0.0666077770612327,-0.00630942607918825,0.00172626723563821,0.0584004006415941
"ATF3",0.0163050521256293,-0.0278327017588387,0.00243695882978808,-0.037391094746361,0.0118692388165971,0.0122096522240665
"ATF6A",0.0251622351951522,0.0557037181855524,-0.00866257518345531,0.0147188489246704,0.00973520475274942,-0.0283594254673546
"BACH1",0.00806481552255326,-0.00892423746218025,-0.00988670506864272,-0.0168043697150117,-0.0324021189514902,-0.0238323159880177
"BATF3",-0.0201098135270004,-0.0121803133063608,0.03114533860726,-0.0230872224774743,-0.0037268873291812,0.00205059271552683
"BATF",0.0659459565017816,0.0613207400851677,-0.0130161686763842,-0.0207669913878296,-0.0148082295945831,-0.030613850391126
"BC11A",-0.0107214433546464,-0.0129943043124336,-0.000148677482173062,-0.0149821431381658,-0.0188250176354451,-0.00597055251588842
"BCL6",0.00788742545247596,0.00339937846233816,0.00992579838571256,-0.0169411662241467,0.0109706451081849,-0.0238317569159032
"BHA15",0.031518224582203,0.0540272808254742,-0.00844825686230356,-0.0161521166841899,0.0193316998431931,0.0282158853947198
"BHE40",-0.0437832494193163,-0.0338005705085011,0.0328226639938218,-0.0346980963649243,0.0342934396331796,0.0654992697360359
"BMAL1",0.0105134983702724,0.015792427122335,0.00996601018745503,0.0216565000731137,-0.0227914119485399,0.029907695493789
"BRAC",-0.037685323797584,0.0122166266973077,0.00439190329439968,0.0259693649467768,-0.00074691749431678,-0.000831517337537556
"CDX1",-0.00199305126065902,0.0318664386542169,-0.0351258138702016,0.0450766911220623,0.0025844916392997,-0.0501821524350939
"CDX2",0.0124084671041001,0.031246198220414,-0.0491926555858264,-0.00047934926316462,0.0136098656800217,-0.0597085539992067
"CEBPD",0.0258061131701623,0.010977041229882,-0.0507421767415393,0.0349596577773131,0.0387322114420729,-0.0367832434184727
"CEBPE",-0.0335677635410354,0.0654565535779206,0.0120543584587236,0.0155347390662826,-0.0469810189999068,0.00883202637079682
"CLOCK",0.0232000177166711,-0.0114589198103603,-0.0247111202808074,-0.0011555017457645,-0.000211098656087852,-0.043166026491715
"COE1",-0.0635610257756259,-0.037832021206058,-0.0138727519273732,-0.0553022461907208,0.0559645515096759,-0.0409528718976752
"COT1",-0.00434031736743157,-0.00869808984230266,-0.0131516571462955,-0.0119980393938999,-0.0236800346580495,0.0244692697481861
"COT2",0.0204128881613421,0.0154963903525408,-0.0134062911378604,-0.0171230752473443,0.0230745409957509,-0.00313639697949024
"CREM",0.00836468599708173,0.0334655242932631,0.0243566997544476,0.0393740935560809,0.0155491886984398,0.000871390488725297
"CRX",-0.0208824975894792,-0.00371906209025314,-0.0283770782978799,0.0682913391226431,-0.00311511928631029,0.0527477367653446
"CUX1",-0.0768564587839782,-0.0456968036903682,-0.0939853351850087,0.0146574646321808,-0.0523958686223471,0.0365483474288283
"DBP",0.0764100186562832,0.0904234046416552,-0.0139728854062823,-0.0508786264506338,0.0218713039616553,-0.0219339256607635
"DLX3",0.0571492782344411,0.0185074647513458,0.0205781615558563,0.0105895554395997,0.0787906390198369,-0.0377592604035413
"DUX4",-0.00884912572668596,-0.0349597782235943,-0.0405159118127276,-0.0239956466925202,-0.0034135932689464,0.0389585014171155
"E2F2",0.0242734870107883,-0.00149829519831855,-0.0368646347183172,0.0369179461729265,0.0180062215391538,-0.0201336220084111
"E2F3",0.0278532265482665,0.000155829782671756,-0.0167892218817986,0.0259890536897083,0.0165930392102547,0.0123824576542743
"E2F5",-0.0609175427726659,0.0186333618646757,-0.0199032282332425,-0.0153902945332795,-0.0571130061812619,0.0514702668074116
"E2F6",-0.0245855555610758,0.00294842543490786,-0.00169056721423615,-0.000448492936018532,0.0176197760439087,-0.0143019191297472
"ELF5",-0.0091111768603965,-0.0133378055579926,0.0110377550274097,-0.0133487158163895,-0.00261591762443049,0.00690621729334445
"ERG",-0.0261562171967634,0.0040496751658841,-0.0161651683248134,-0.000548742402551348,0.0193302061333648,0.00381266966465543
"ERR1",0.030223953682553,0.0135797797907482,-0.0162756304071038,-0.0150449455982051,-0.0430033743643031,0.0107370918868648
"ERR2",-0.0421058187879894,-0.0698382566949117,0.0294058400082831,0.00661789047129561,-0.0338206392889471,0.0917707674613946
"ERR3",-0.0511758152052661,-0.00832305203849988,0.015078820386671,-0.00273163370109203,0.0125255071008953,0.01522889585965
"ESR1",-0.00624973518249478,-0.00734832662281834,-0.0753685272101912,-0.00925770142070687,0.0110101064328788,0.00195490693393925
"ESR2",-0.00155805652209365,0.000313666751473819,0.0347339646710473,-0.00766307349826081,-0.0230235809383194,0.00291611294142626
"ETS1",0.0103000107340529,-0.00140613606263222,0.0118211544692377,0.0194343428147473,-0.0200448528740081,0.00455848452414485
"ETS2",-0.00324273599805595,-0.00430748691076684,0.0191047682729138,0.00808091197826773,-0.0166970701253084,0.0198454035204118
"ETV2",0.0317179512297478,0.0182762852039257,0.00748906298838355,0.0165651579943019,0.00403211027308007,-0.00418006477742098
"ETV4",0.0423607701467975,0.0369485371577273,-0.0193620470360403,-0.00972062630590053,-0.0237272436376889,-0.0288771484554201
"ETV5",0.0295796504335714,-0.00316093149874141,-0.00567644036933317,0.0158022857126355,0.0237893359011404,0.0247677206718291
"EVI1",-0.0184698426508779,0.0129485698087879,-0.00799806069023749,-0.0278188013186093,-0.0631397626992026,-0.00271200651866346
"FEV",-0.000576521787406363,-0.0121576644252644,-0.0286920833394016,-0.0265941446084466,0.0181580648536801,0.02355583040815
"FEZF1",-0.0598568857646799,-0.0106696943435881,0.0215996651246387,-0.0267820775770868,-0.0165066643367495,0.00326444456907729
"FLI1",-0.017745128332181,-0.0145204550523584,-0.00041524416769567,-0.0256428312205909,0.0154281158398217,-0.0198826953380688
"FOXC1",0.00936337475756419,0.0175588797401844,-0.0131710373607358,0.0338300101248443,0.0338299857665076,-0.0242848503000902
"FOXH1",-0.0675827855533439,0.017003142782254,0.026790817451124,0.029736652894422,-0.0195255731744401,-0.039516686901034
"FOXI1",-0.00550311095707472,0.0147347881578737,0.0253042435515398,-0.0214298332353247,-0.00267696058311545,-0.0029740464346754
"FOXJ2",-0.0231771589467094,0.00212595211083187,0.0196165945016025,0.0159820190282137,0.0143853836363283,-0.0101241867811309
"FOXJ3",0.0272027564340956,0.0429926648135246,-0.0128250030337781,0.0234025180153854,-0.0382209361821521,0.00575987694484959
"FOXK1",0.0140348744273215,-0.00410877952870767,0.00953272760512787,0.00603017447170449,-0.0264941777692328,0.0346572955876226
"FOXO1",-0.0313466474879282,0.013963268748785,-0.0129244868960815,-0.0015309848430986,-0.00410764503823954,0.0171480294459068
"FOXO4",0.0441004785374599,0.00438564385127734,0.00433524551697172,-6.78008831212975e-05,-0.00610900788792971,0.00521444276184858
"FOXP1",-0.0281766478973695,-0.0222988650083074,-0.0292104722693337,0.00145770376866871,-0.00112978880423616,-0.0267186559561884
