"","Differentiated-2","Differentiated_1","Intermediate-3","Intermediate-2","Intermediate-1","Neuroendocrine"
"AHR",0,0,0,0,0,0
"AIRE",0,0,0,0,0,0
"ALX1",0,0,0,0,0,0
"AR",0,0.0472477429444442,0,0,0,0
"TFAP2B",0,0,0,0,0,0
"ARI5B",0,0,0,0,0,0
"ASCL1",0,0,0,0,0,0
"ATF2",0,0,0,0,0,0
"ATF3",0,0,0,0,0,0
"ATF6A",0,0,0,0,0,0
"BACH1",0,0,0,0,0,0
"BATF3",0,0,0,0,0,0
"BATF",0.0659459565017816,0,0,0,0,0
"BC11A",0,0,0,0,0,0
"BCL6",0,0,0,0,0,0
"BHA15",0,0,0,0,0,0
"BHE40",0,0,0,0,0,0
"BMAL1",0,0,0,0,0,0
"BRAC",0,0,0,0,0,0
"CDX1",0,0,0,0,0,0
"CDX2",0,0,0,0,0,0
"CEBPD",0,0,0,0,0,0
"CEBPE",0,0,0,0,0,0
"CLOCK",0,0,0,0,0,0
"COE1",-0.0635610257756259,0,0,-0.0553022461907208,0.0559645515096759,0
"COT1",0,0,0,0,0,0
"COT2",0,0,0,0,0,0
"CREM",0,0,0,0,0,0
"CRX",0,0,0,0,0,0
"CUX1",0,0,0,0,0,0
"DBP",0,0.0904234046416552,0,0,0,0
"DLX3",0,0,0,0,0,0
"DUX4",0,0,0,0,0,0
"E2F2",0,0,0,0,0,0
"E2F3",0,0,0,0,0,0
"E2F5",0,0,0,0,0,0
"E2F6",0,0,0,0,0,0
"ELF5",0,0,0,0,0,0
"ERG",0,0,0,0,0,0
"ERR1",0,0,0,0,0,0
"ERR2",0,0,0,0,0,0
"ERR3",0,0,0,0,0,0
"ESR1",0,0,0,0,0,0
"ESR2",0,0,0,0,0,0
"ETS1",0,0,0,0,0,0
"ETS2",0,0,0,0,0,0
"ETV2",0,0,0,0,0,0
"ETV4",0,0,0,0,0,0
"ETV5",0,0,0,0,0,0
"EVI1",0,0,0,0,-0.0631397626992026,0
"FEV",0,0,0,0,0,0
"FEZF1",-0.0598568857646799,0,0,0,0,0
"FLI1",0,0,0,0,0,0
"FOXC1",0,0,0,0,0,0
"FOXH1",0,0,0,0,0,0
"FOXI1",0,0,0,0,0,0
"FOXJ2",0,0,0,0,0,0
"FOXJ3",0,0,0,0,0,0
"FOXK1",0,0,0,0,0,0
"FOXO1",0,0,0,0,0,0
"FOXO4",0,0,0,0,0,0
"FOXP1",0,0,0,0,0,0
"FOXQ1",0,0,0,0,0,0
"GATA3",0,0,0,0,0,0
"NR3C1",0,0,0,0,0,0
"GFI1B",0,0,0,0,0,0
"GFI1",0,0,0,0,0,0
"GLI3",0,0,0,0,0,0
"GRHL2",0.322413458173299,0.286845349566407,0,0,0,-0.177838736183132
"HEN1",0.0489505350150385,0,0,0,0,0
"HIC1",0,0,0,0,0,0
"HIF1A",0,0,0,0,0,0
"HINFP",0,0,0,0,0,0
"HLF",0,0,0,0,0,0
"HNF6",0,0,0,0,0,0
"HSF1",0,0,0,0,0,0
"HSF2",0,0,0,0,0,0
"HTF4",0,0,0,0,0,0
"HXA10",0,0,0,0,0,0
"HXA13",0,0,0,0,0,0
"HXA1",0,0,0,0,0,0
"HXA9",0,0,0,0,0,0
"HXB13",0,0,0,0,0,-0.130862437523032
"HXB4",0,0,0,0,0,0
"HXC9",0,0,0,0,0,0
"IKZF1",0,0,0,0,0,0
"INSM1",0,0,0,0,0,0
"IRF3",0,0,0,0,0,0
"IRF7",0,0,0,0,0,0
"IRF9",0,0,0,0,0,0
"ISL1",0,0,0,0,0,0
"KAISO",0,0,0,0,0,0
"KLF8",0,0,0,0,0,0
"LEF1",0,0,0,0,0,0
"LHX2",0,0,0,0,0,0
"LHX3",0,0,0,0,0,0
"LYL1",0,0,0,0,0,0
"MAFB",0,0,0,0,0,0
"MAFF",0,0,0,0,0,0
