"State","Perturbation","TF","coef","pval","FDR","direction"
"Differentiated_1","KLF14+TET2","COT1",0.0205080477021886,1.99036442176523e-05,0.00634926250543108,"more_active"
"Differentiated_1","NEUROD1+TET2","RFX1",0.0237685945048074,0.000134207655849754,0.0428122422160714,"more_active"
"Differentiated_1","NEUROG1+ZNF385A","KAISO",0.0405671528316771,0.000988775840323462,0.0821329076598459,"more_active"
"Differentiated_1","NEUROG1+ZNF385A","MBD2",-0.035050239323103,8.33529681676944e-05,0.0132947984227473,"less_active"
"Differentiated_1","NEUROG1+ZNF385A","MECP2",0.0247796845168357,0.00102987971987268,0.0821329076598459,"more_active"
"Differentiated_1","NEUROG1+ZNF385A","ZN770",-0.0227841192715027,5.86723261964915e-05,0.0132947984227473,"less_active"
"Differentiated_1","NEUROG1+ZNF547","E2F2",-0.0462971966162794,0.000274153149094782,0.0874548545612354,"less_active"
"Differentiated_1","NEUROG1+ZNF776","ZN563",0.0262139994584547,5.88938614581419e-06,0.00187871418051473,"more_active"
"Differentiated_1","SIM1+ZNF776","HINFP",-0.0711403083738022,4.50884040167735e-05,0.0143832008813508,"less_active"
"Differentiated-2","NEUROD1","TYY1",-0.0546261888460847,9.8776561498464e-05,0.0211212352460672,"less_active"
"Differentiated-2","NEUROD1","TFGroup_13",0.0474950708874567,0.000132421537592898,0.0211212352460672,"more_active"
"Differentiated-2","NEUROD1","ETV5",0.0326260854809966,0.000201209962884761,0.021395326053413,"more_active"
"Differentiated-2","SIM1","NR6A1",-0.0413400994957674,0.000313261589133249,0.0999304469335065,"less_active"
"Differentiated-2","ZNF776","SRBP1",-0.0452988667116209,9.44547094035703e-05,0.0301310522997389,"less_active"
"Intermediate-1","KLF14","LHX2",0.0426283219719664,0.00023409200720203,0.0746753502974475,"more_active"
"Intermediate-1","KLF14+NR3C1","TFGroup_17",0.036454110825428,0.000285527256708727,0.0910831948900838,"more_active"
"Intermediate-1","KLF14+VSX1","HSF1",-0.0422682585718894,0.000303786872927088,0.0969080124637411,"less_active"
"Intermediate-1","KLF14+ZNF547","HXA10",-0.046717029673251,6.61946693847401e-05,0.0211160995337321,"less_active"
"Intermediate-1","KLF14+ZNF547","TFGroup_19",0.0293547354547137,0.000588952345613443,0.0939378991253442,"more_active"
"Intermediate-1","NR3C1+ZNF547","GATA3",0.0322477268131876,0.000220435148079664,0.0703188122374128,"more_active"
"Intermediate-1","SIM1+ZNF776","TFGroup_5",0.0360532949789091,4.24191295591622e-05,0.0135317023293727,"more_active"
"Intermediate-1","TWIST1+VSX1","GFI1",-0.0432768899224692,0.000432736742749113,0.062982840106208,"less_active"
"Intermediate-1","TWIST1+VSX1","GFI1B",0.0383991915037007,0.000987191851194483,0.062982840106208,"more_active"
"Intermediate-1","TWIST1+VSX1","SOX3",-0.034463331025516,0.000953319689422632,0.062982840106208,"less_active"
"Intermediate-1","TWIST1+VSX1","ZN140",0.0325550964924019,0.000683236428681461,0.062982840106208,"more_active"
"Intermediate-1","TWIST1+VSX1","TFGroup_36",0.0284359357477993,0.000555333062467329,0.062982840106208,"more_active"
"Intermediate-1","VSX1","PO3F1",-0.0386666664867082,0.000107665045646981,0.0343451495613868,"less_active"
"Intermediate-1","VSX1+ZNF547","FOXK1",-0.036789370704851,7.72052110054417e-05,0.0246284623107359,"less_active"
"Intermediate-1","VSX1+ZNF660","ZN768",-0.0281057049364676,0.000187369167491821,0.0597707644298911,"less_active"
"Intermediate-1","ZNF385A","FOXC1",-0.0362539110031532,4.89780080058993e-05,0.0156239845538819,"less_active"
"Intermediate-1","ZNF547+ZNF776","ZN260",0.0451238790010453,0.000160285903074809,0.0511312030808642,"more_active"
"Intermediate-2","KLF14+SIM1","KAISO",0.0366866843385603,0.00013605823311214,0.0217012881813863,"more_active"
"Intermediate-2","KLF14+SIM1","ZIC1",0.0279709661393491,1.89180289219222e-05,0.00603485122609317,"more_active"
"Intermediate-2","NR3C1+ZNF547","ZN563",-0.0166885965015626,0.000308947527583189,0.0985542612990373,"less_active"
"Intermediate-2","TWIST1+ZNF547","TFGroup_31",0.0341809947139585,1.41897460062965e-05,0.00452652897600859,"more_active"
"Intermediate-2","ZNF547","MYB",-0.0459779390575068,0.000280823490262836,0.0895826933938448,"less_active"
"Intermediate-3","NEUROG1","ZIC3",0.0227989625046507,7.00928669568534e-05,0.0223596245592362,"more_active"
"Neuroendocrine","ASCL1+NEUROD1","ZBT18",0.0365278001533172,2.52545389106666e-05,0.00805619791250265,"more_active"
"Neuroendocrine","ASCL1+NEUROD1","NR1I3",-0.0344227377948238,0.000913044600831048,0.0970870758883681,"less_active"
"Neuroendocrine","ASCL1+NEUROD1","ZN418",0.0254865737075176,0.000369233758530044,0.0588927844855421,"more_active"
"Neuroendocrine","ASCL1+SIM1","IRF7",-0.0319165226968782,4.72051684794483e-05,0.015058448744944,"less_active"
"Neuroendocrine","ASCL1+ZNF660","ZN320",-0.0260043093733605,0.00020689341807992,0.0659990003674945,"less_active"
"Neuroendocrine","KLF14","ZN490",0.0366396535456213,0.000106854508675804,0.0340865882675815,"more_active"
"Neuroendocrine","KLF14+NEUROD1","ALX1",-0.0461686323406853,8.50268951935945e-06,0.00271235795667567,"less_active"
"Neuroendocrine","KLF14+VSX1","TFGroup_4",0.0365328867123598,0.000311761404552044,0.0994518880521021,"more_active"
"Neuroendocrine","NEUROD1+NR3C1","TFGroup_7",0.0534907499158514,0.000175950229114212,0.0561281230874336,"more_active"
"Neuroendocrine","NEUROD1+ZNF660","TFGroup_10",0.026068537610481,0.000170943887840493,0.0545311002211171,"more_active"
"Neuroendocrine","NEUROD1+ZNF776","ZN680",0.0302170591540281,0.000144653406989303,0.0461444368295878,"more_active"
"Neuroendocrine","NEUROG1+TET2","BMAL1",0.0670876989390943,0.000103094346727586,0.0328870966061,"more_active"
"Neuroendocrine","NEUROG1+ZNF547","MYC",0.0627496137532554,8.59385188379181e-05,0.0274143875092959,"more_active"
"Neuroendocrine","NR3C1+ZNF660","FOXH1",-0.0386481877378122,0.000265954961714589,0.084839632786954,"less_active"
"Neuroendocrine","SIM1+ZNF547","NR2E3",0.0287630818458183,0.000169051472247795,0.0539274196470466,"more_active"
"Neuroendocrine","TWIST1+ZNF547","LEF1",-0.0271782740004904,0.000144143685490351,0.0459818356714221,"less_active"
"Neuroendocrine","VSX1+ZNF776","PDX1",-0.0535234927347035,5.39791633314085e-05,0.0172193531027193,"less_active"
"Neuroendocrine","ZNF385A","STF1",-0.0418606533841845,0.000115297587193842,0.0367799303148357,"less_active"
"Neuroendocrine","ZNF385A+ZNF660","SOX9",-0.0372542181761558,9.07058656922737e-05,0.0289351711558353,"less_active"
