"TF_name","TF_group"
"AP2A","TFGroup_1"
"AP2C","TFGroup_1"
"ARNT","TFGroup_2"
"EPAS1","TFGroup_2"
"ATF1","TFGroup_3"
"CREB1","TFGroup_3"
"ATF4","TFGroup_4"
"CEBPG","TFGroup_4"
"ATOH1","TFGroup_5"
"NDF1","TFGroup_5"
"NDF2","TFGroup_5"
"BACH2","TFGroup_6"
"NF2L2","TFGroup_6"
"NFE2","TFGroup_6"
"CEBPA","TFGroup_7"
"CEBPB","TFGroup_7"
"CTCF","TFGroup_8"
"CTCFL","TFGroup_8"
"E2F1","TFGroup_9"
"E2F4","TFGroup_9"
"E2F7","TFGroup_9"
"TFDP1","TFGroup_9"
"EGR1","TFGroup_10"
"EGR2","TFGroup_10"
"KLF1","TFGroup_10"
"KLF12","TFGroup_10"
"KLF15","TFGroup_10"
"KLF3","TFGroup_10"
"KLF4","TFGroup_10"
"KLF5","TFGroup_10"
"KLF6","TFGroup_10"
"KLF9","TFGroup_10"
"MAZ","TFGroup_10"
"PATZ1","TFGroup_10"
"SP1","TFGroup_10"
"SP2","TFGroup_10"
"SP3","TFGroup_10"
"SP4","TFGroup_10"
"VEZF1","TFGroup_10"
"WT1","TFGroup_10"
"ZBT17","TFGroup_10"
"ZN263","TFGroup_10"
"ZN281","TFGroup_10"
"ZN341","TFGroup_10"
"ZN467","TFGroup_10"
"EHF","TFGroup_11"
"ELF3","TFGroup_11"
"ELF1","TFGroup_12"
"ELF2","TFGroup_12"
"GABPA","TFGroup_12"
"ELK1","TFGroup_13"
"ELK4","TFGroup_13"
"ETV1","TFGroup_13"
"FOS","TFGroup_14"
"FOSB","TFGroup_14"
"FOSL1","TFGroup_14"
"FOSL2","TFGroup_14"
"JUN","TFGroup_14"
"JUNB","TFGroup_14"
"JUND","TFGroup_14"
"FOXA1","TFGroup_15"
"FOXA2","TFGroup_15"
"FOXA3","TFGroup_15"
"FOXM1","TFGroup_15"
"FOXO3","TFGroup_16"
"FOXP2","TFGroup_16"
"GATA1","TFGroup_17"
"GATA2","TFGroup_17"
"TAL1","TFGroup_17"
"GATA4","TFGroup_18"
"GATA6","TFGroup_18"
"HNF1A","TFGroup_19"
"HNF1B","TFGroup_19"
"HNF4A","TFGroup_20"
"HNF4G","TFGroup_20"
"HXB7","TFGroup_21"
"HXB8","TFGroup_21"
"IRF1","TFGroup_22"
"IRF2","TFGroup_22"
"STAT2","TFGroup_22"
"IRF4","TFGroup_23"
"IRF8","TFGroup_23"
"ITF2","TFGroup_24"
"TFE2","TFGroup_24"
"MAFG","TFGroup_25"
"MAFK","TFGroup_25"
"MEF2A","TFGroup_26"
"MEF2B","TFGroup_26"
"MEF2C","TFGroup_26"
"MEF2D","TFGroup_26"
"MITF","TFGroup_27"
"TFE3","TFGroup_27"
"USF1","TFGroup_27"
"USF2","TFGroup_27"
"MYOD1","TFGroup_28"
"MYOG","TFGroup_28"
"NANOG","TFGroup_29"
"PO5F1","TFGroup_29"
"NFKB1","TFGroup_30"
"NFKB2","TFGroup_30"
"NFYA","TFGroup_31"
"NFYB","TFGroup_31"
"NFYC","TFGroup_31"
"PBX3","TFGroup_32"
"PKNX1","TFGroup_32"
"PPARA","TFGroup_33"
"PPARG","TFGroup_33"
"RUNX1","TFGroup_34"
"RUNX3","TFGroup_34"
"SIX1","TFGroup_35"
"SIX2","TFGroup_35"
"SOX2","TFGroup_36"
"SOX4","TFGroup_36"
"SPI1","TFGroup_37"
"SPIB","TFGroup_37"
"STA5A","TFGroup_38"
"STA5B","TFGroup_38"
"TEAD1","TFGroup_39"
"TEAD4","TFGroup_39"
"TF7L1","TFGroup_40"
"TF7L2","TFGroup_40"
"THA11","TFGroup_41"
"ZN143","TFGroup_41"
"AHR","NA"
"AIRE","NA"
"ALX1","NA"
"ANDR","NA"
"AP2B","NA"
"ARI5B","NA"
"ASCL1","NA"
"ATF2","NA"
"ATF3","NA"
"ATF6A","NA"
"BACH1","NA"
"BATF","NA"
"BATF3","NA"
"BC11A","NA"
"BCL6","NA"
"BHA15","NA"
"BHE40","NA"
"BMAL1","NA"
"BRAC","NA"
"CDX1","NA"
"CDX2","NA"
"CEBPD","NA"
"CEBPE","NA"
"CLOCK","NA"
"COE1","NA"
"COT1","NA"
"COT2","NA"
"CREM","NA"
"CRX","NA"
"CUX1","NA"
"DBP","NA"
"DLX3","NA"
"DUX4","NA"
"E2F2","NA"
"E2F3","NA"
"E2F5","NA"
"E2F6","NA"
"ELF5","NA"
"ERG","NA"
"ERR1","NA"
"ERR2","NA"
"ERR3","NA"
"ESR1","NA"
"ESR2","NA"
"ETS1","NA"
"ETS2","NA"
"ETV2","NA"
"ETV4","NA"
"ETV5","NA"
"EVI1","NA"
"FEV","NA"
"FEZF1","NA"
"FLI1","NA"
