,names,scores,logfoldchanges,pvals,pvals_adj
0,NAALADL2,43.235683,2.3625276,0.0,0.0
1,B2M,43.210342,1.5848016,0.0,0.0
2,CADPS2,41.82359,1.8006094,0.0,0.0
3,MACC1,40.864746,2.668621,0.0,0.0
5,ARHGEF38,37.732,2.9526446,0.0,0.0
6,EPCAM,37.29346,1.8066268,2.094817098549716e-304,2.89100873577542e-301
7,GRHL2,37.244537,3.3791237,1.298806148523085e-303,1.6644200793323334e-300
8,AGR2,36.606655,1.5832562,2.2414717134036883e-293,2.680949600678371e-290
11,TENM3,35.54492,2.2155886,9.95330678983883e-277,9.39854090086834e-274
14,CDH1,34.731155,2.4972205,2.668905733067674e-264,2.0818625111724847e-261
15,MYO5B,34.709896,2.501393,5.586452247840267e-264,4.17610582410426e-261
18,TRIM2,33.860283,1.8562703,2.561594100499501e-251,1.5847434398986738e-248
19,UBE2R2,33.606865,1.6243861,1.331587997550443e-247,7.706458149694353e-245
21,MELK,32.848755,1.668232,1.1866431708859782e-236,6.261636802607451e-234
29,TACC1,29.926098,1.5174248,9.006387099561061e-197,3.847228356029167e-194
32,ENSG00000260658,29.50199,1.5588801,2.714704024753027e-191,1.0587935849585666e-188
33,RAB11FIP1,29.465366,1.6373053,8.001827071991377e-191,3.054484670182921e-188
34,UBAP1,29.026121,1.5999557,3.0808081572697604e-185,1.1054555829915354e-182
37,INPP4B,28.758522,2.7775893,7.087150323735877e-182,2.3990672444933088e-179
40,PIK3C2G,28.420393,3.13775,1.1320595487217126e-177,3.626835779217187e-175
47,ENSG00000271893,27.791454,3.2918143,5.502397808420859e-170,1.5669606203314067e-167
49,NEGR1,27.669348,1.5368961,1.6330526415937213e-168,4.507476529666609e-166
51,RNF38,27.338806,1.5173069,1.4671964213272276e-164,3.871025146328205e-162
53,ENSG00000285751,27.168526,1.8476787,1.5298434348871942e-162,3.920988723615879e-160
55,ENSG00000228033,26.938358,2.85086,7.809336509957339e-160,1.8933419773668188e-157
56,CLDN7,26.32507,2.0892198,9.9061031377002e-153,2.3696719519130575e-150
62,SVIL,25.407299,1.5098087,2.094452618115995e-142,4.270065275183985e-140
64,ST14,25.063793,3.1730664,1.2350184049331501e-138,2.4619405781006277e-136
65,KIF24,24.9669,1.7514375,1.3996082031709097e-137,2.7593814036361854e-135
66,ENSG00000259692,24.795021,2.0914,1.0144926172010735e-135,1.9783708744787457e-133
72,TSPAN8,24.1342,1.8612081,1.094173054415151e-128,1.9436196801249726e-126
73,LINC01208,24.120783,2.3896773,1.5131890858894477e-128,2.661580920582606e-126
74,RPSA2,24.047066,2.9586039,8.959341767340013e-128,1.5605781616295842e-125
76,FMN1,23.909271,2.3254642,2.4530188006202838e-126,4.191391457326525e-124
81,SEPTIN9,23.506702,1.5504488,3.483270013285417e-122,5.5797631525315774e-120
83,MYO1E,23.473312,1.8701519,7.642595832514582e-122,1.2027702792205623e-119
89,MSRA,23.05982,1.583059,1.1723808984041372e-117,1.738321132088316e-115
95,TMEM62,22.68175,1.8993589,6.783825327637203e-114,9.434775984739462e-112
96,GPR160,22.656588,1.6557745,1.2013364156124108e-113,1.6579366640386357e-111
98,SHB,22.501902,2.3718977,3.976352660083022e-112,5.404525990496175e-110
99,VCP,22.456085,1.749278,1.1159743563960647e-111,1.4961521220315906e-109
114,VAV2,21.79022,1.9404535,2.872674859562971e-105,3.458970446672434e-103
116,LNX1,21.726404,1.5077773,1.15499345099484e-104,1.3632722042301594e-102
117,SLC25A25,21.60238,1.9627148,1.7059371956025368e-103,1.9874168328769554e-101
119,CFAP418-AS1,21.507515,1.603638,1.3240827964995314e-102,1.522780093076801e-100
121,SLC2A12,21.316334,1.6756063,8.009141040644418e-101,9.03723266730827e-99
129,AGR3,20.859838,3.0335517,1.2409018867314244e-96,1.333115014960987e-94
138,DCDC2,20.49708,2.4493985,2.2860560787148984e-93,2.3171826049844063e-91
139,SDC4,20.495234,1.915103,2.374465615457381e-93,2.3932745846584758e-91
145,SAT1,20.335896,2.1810772,6.189820385092859e-92,6.0354112787473365e-90
147,CDH7,20.274178,1.7280722,2.1739795814171174e-91,2.0969552510862636e-89
158,TRIM38,19.729673,2.9857855,1.1994194399821459e-86,1.049696788913155e-84
165,SPINT1,19.48746,2.5261388,1.4027538463632933e-84,1.1760190073646657e-82
173,GRTP1,19.10654,1.673118,2.2275690727154063e-81,1.7762140770483156e-79
176,ENSG00000283294,19.013996,3.5093527,1.3061148764756035e-80,1.0277634648617896e-78
177,PRAG1,18.934963,2.5316124,5.875680716671204e-80,4.603300774576335e-78
185,B4GALT1,18.661482,2.29816,1.018674037588509e-77,7.646874857060854e-76
196,JAK2,18.115437,1.7347223,2.4075838884959797e-73,1.707291009624758e-71
197,C3orf52,18.108654,1.9041122,2.7232935214507685e-73,1.9235672861554424e-71
199,PLPP2,18.0598,2.090457,6.606261923783303e-73,4.629802545882665e-71
200,RIGI,18.043346,2.208197,8.89875397032016e-73,6.212161283327393e-71
201,STK17A,18.033741,1.7901444,1.0588035637771904e-72,7.362788658033555e-71
