,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,CDKAL1,RRM2,TOP2A,BAALC,ABTB2,ADGRL2,SERGEF,AL590004.3,KDR,DNAH5,HDAC9,FBLN5,AC104596.1,NLGN4Y
1,CACNA2D1,HIST1H1E,CENPF,MSRA,HIST1H2AC,DCC,ASIC2,MALAT1,AC079772.1,GABBR1,LAMA3,TRIP11,CBR4,USP9Y
2,SMAD9,MIR924HG,ASPM,RFX3,GEM,EPHA5,FAM163A,NEAT1,TFPI,MACC1,TMEM156,AL136456.1,LINC02615,UTY
3,CACNA1A,BRIP1,ECT2,CHGA,HIST1H2BC,ERBB4,SLC18A1,KRT20,SEMA3A,NCEH1,TGFB2,AC092813.1,AC073475.1,PCDH11Y
4,KCNB2,HIST1H1C,CENPE,LINC01811,HIST1H4H,PEG3,SAMD3,LURAP1L,LINC01208,SAT1,FBN2,TC2N,AC108169.1,TBL1Y
5,RALYL,HIST1H1B,TPX2,TENM3,IER3,TRMT9B,SAMD5,SLC7A11,LINC01091,ADARB1,DOCK5,FER1L6,GPM6A,TTTY14
6,FIGNL1,RFC3,CCNB1,AC063980.1,GADD45B,RYR2,ANK2,IQCJ,CHST9,CXCL8,PCDH7,FABP12,FSTL5,PRKY
7,RAP1GAP2,ATAD2,SMC4,RORA,HIST1H2BD,ADGRL3,LMX1A,ALDH1A2,ARHGAP29,PRAG1,ITGB8,LINC00862,FRG1-DT,RPS4Y1
8,CADPS,HIST1H4C,CIT,LINC02384,CRIM1,SH3RF3,CAPRIN2,MLPH,LINC01811,NCOA7,NFIB,LINC02408,NEK1,DDX3Y
9,DMD,FAM111B,SCLT1,RFX3-AS1,IRS2,AC007368.1,CNKSR3,TMEM132D,PACS1,ANKRD36C,AHR,CATSPERB,REELD1,TTTY10
10,SLCO3A1,POLQ,BUB1,HOXB6,LINC-PINT,BRINP3,CHGA,PLXNA2,AC092691.1,GDF15,EDN1,TG,PALLD,ZFY
11,AC060765.1,SPC25,HELLPAR,HMGA2,ARHGAP26,PEG10,SGCD,SQSTM1,DUSP6,FSTL1,KCTD8,AP003472.1,STOX2,KDM5D
12,PCSK2,MELK,MKI67,ARHGEF38,CLSTN2,AC011287.1,TMEM200A,NIBAN1,H19,RASSF9,KLHL5,IL34,FAT1,FAM230C
13,LINC00261,RAD54L,KPNA2,ATOX1,BAIAP2,PPARGC1A,DSCAM,LURAP1L-AS1,FSTL1,CASC15,RBPMS,LINC00640,GALNT7,FAM230F
14,PTPRN2,NCAPG2,SGO2,ASTN2,HIST1H2BJ,KCNC2,SULF2,DDIT3,DPYSL3,PKHD1,FNBP1,LINC01170,AC105285.1,LINC00278
15,CACNA1C,ESCO2,DLGAP5,RAB11FIP1,KHDRBS3,NR2F1,LINC01811,AL589693.1,ANGPT2,PLEKHG1,SEMA3A,MSH4,LRBA,EIF1AY
16,RIMBP2,SMC4,KIF14,MYO5B,BMP6,AC016766.1,AL033504.1,IQCJ-SCHIP1,GP2,LCN2,ANKRD36C,SNX31,AC078881.1,DHRSX
17,IGFBP5,CEP128,CKAP5,GLIS3,JUN,LUZP2,PDE10A,RNF144A,AC108067.1,ITGB8,CCN1,AC025465.1,ADAM29,CD99
18,TOX,EXO1,ARL6IP1,RIMS2,HIST1H2BE,SCG2,SYT13,AL163541.1,SLITRK6,SDC4,ANXA3,LINC02073,AC112236.3,IL3RA
19,KCNJ3,NCAPD3,CDCA2,TGFBR3,MARCH3,AC090679.2,PAM,MUC13,MOXD1,LINC00342,PDE3A,AL391117.1,ZNF827,AC010889.2
